,measure,year,month,sector,floor_size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source,source_ord
36,36,2005,5.0,office,956.0,2,51.0,13,2002,24.2,29.8,37.8,11196.39,oil,3
37,37,2012,10.0,office,956.0,2,51.0,13,2002,17.1,24.2,30.2,9760.58,oil,3
38,38,2013,12.0,factory,987.0,5,203.0,2,1934,7.7,15.6,24.3,1659.82,elec,1
39,39,2012,9.0,education,299.0,6,37.0,5,1936,19.6,26.2,31.2,1496.01,oil,3
40,40,2006,4.0,factory,323.0,5,117.0,3,1963,19.0,27.2,33.0,659.21,gas,2
41,41,2014,6.0,office,258.0,4,117.0,11,1950,25.4,30.5,35.1,4004.99,elec,1
42,42,2010,9.0,education,911.0,5,172.0,1,1986,21.4,27.1,35.4,853.12,oil,3
43,43,2008,12.0,commercial,524.0,6,117.0,3,1929,9.8,15.15,20.5,3035.59,oil,3
44,44,2006,5.0,commercial,442.0,1,172.0,5,1953,22.0,28.6,35.6,3638.54,elec,1
45,45,2011,12.0,education,837.0,5,203.0,3,1934,9.9,14.6,21.8,2608.92,gas,2
46,46,2006,5.0,commercial,129.0,1,337.0,2,1952,24.5,29.8,37.4,270.41,gas,2
47,47,2008,11.0,residential,486.0,2,-7.0,17,2006,11.9,18.8,26.2,10993.09,elec,1
48,48,2008,10.0,commercial,157.0,6,12.0,3,1921,19.9,24.2,28.6,583.69,oil,3
49,49,2012,11.0,commercial,184.0,4,-7.0,2,1926,13.6,20.2,27.9,549.5,oil,3
50,50,2011,8.0,office,968.0,3,-7.0,3,1965,22.2,29.5,36.5,194.45,gas,2
51,51,2009,11.0,office,976.0,3,19.0,26,2001,11.0,19.5,24.8,27549.28,oil,3
52,52,2006,1.0,education,173.0,6,51.0,6,1999,10.1,15.850000000000001,21.6,1912.05,oil,3
53,53,2006,12.0,commercial,157.0,6,12.0,3,1921,9.1,15.1,20.3,429.27,gas,2
54,54,2007,2.0,factory,368.0,7,-7.0,1,1932,10.3,16.950000000000003,23.6,373.26,elec,1
55,55,2012,9.0,factory,452.0,5,-7.0,2,1939,20.6,27.7,,552.11,oil,3
56,56,2012,8.0,residential,1085.0,5,37.0,7,1928,24.1,29.1,35.8,4870.5,oil,3
57,57,2009,9.0,residential,1085.0,5,37.0,7,1928,22.0,27.2,34.9,5918.38,gas,2
58,58,2011,7.0,education,1114.0,4,51.0,4,1924,25.1,30.8,37.2,4851.541864684603,gas,2
59,59,2013,7.0,residential,350.0,3,19.0,22,1963,22.9,29.8,35.5,464.03,gas,2
60,60,2011,4.0,education,187.0,1,172.0,4,2002,22.1,26.5,31.5,955.05,elec,1
61,61,2014,7.0,commercial,290.0,2,51.0,4,2003,24.6,29.5,33.7,1323.72,oil,3
62,62,2007,6.0,residential,449.0,1,337.0,29,1926,25.1,30.3,35.2,10968.89,oil,3
63,63,2008,8.0,factory,218.0,4,37.0,6,1990,23.0,29.3,35.8,638.63,gas,2
64,64,2009,1.0,commercial,844.0,3,-7.0,2,1996,10.0,15.2,24.5,145.05,gas,2
65,65,2010,6.0,factory,819.0,3,37.0,6,2006,24.5,30.4,35.0,4829.48,elec,1
66,66,2007,6.0,office,1342.0,6,19.0,5,1944,25.2,30.7,35.8,5495.49,oil,3
67,67,2005,6.0,education,861.0,7,19.0,5,2003,22.1,29.5,36.4,4051.69,gas,2
68,68,2011,4.0,office,956.0,2,51.0,13,2002,17.5,26.7,35.1,11196.39,oil,3
69,69,2010,5.0,commercial,657.0,5,337.0,1,1964,24.5,29.9,36.3,890.59,elec,1
70,70,2011,11.0,factory,368.0,7,-7.0,1,1932,13.3,20.0,27.4,226.31,gas,2
71,71,2010,3.0,residential,954.0,8,117.0,27,1943,16.4,23.8,29.8,30157.26,elec,1
72,72,2014,5.0,commercial,941.0,3,117.0,4,1954,22.5,29.6,38.6,4514.99,elec,1
73,73,2013,3.0,education,837.0,5,203.0,3,1934,16.3,23.9,28.6,2608.92,gas,2
74,74,2005,11.0,commercial,339.0,1,12.0,1,1926,13.0,20.2,31.4,503.94,oil,3
75,75,2013,11.0,commercial,854.0,4,337.0,1,1936,12.8,19.4,26.1,1824.14,oil,3
76,76,2006,1.0,commercial,1265.0,7,117.0,3,1971,9.3,13.6,21.9,6843.14,elec,1
77,77,2005,11.0,commercial,317.0,8,51.0,2,1976,13.7,20.0,26.7,396.22,gas,2
78,78,2007,8.0,education,1919.0,3,37.0,6,1962,23.0,29.1,34.5,4851.541864684603,gas,2
79,79,2013,2.0,factory,268.0,8,37.0,2,1963,11.8,19.7,25.1,477.48,elec,1
80,80,2010,6.0,commercial,372.0,6,55.0,3,1997,23.6,30.4,36.6,1017.12,gas,2
81,81,2009,5.0,residential,379.0,8,19.0,27,1941,23.3,29.8,40.7,7901.92,oil,3
82,82,2013,5.0,commercial,524.0,6,117.0,3,1929,23.0,29.2,35.7,1544.96,oil,3
83,83,2008,12.0,residential,464.0,3,12.0,3,2001,6.7,14.8,21.1,76.9,gas,2
84,84,2014,6.0,residential,293.0,8,172.0,28,1972,25.8,30.9,37.9,10022.79,elec,1
85,85,2013,6.0,education,243.0,8,19.0,6,1991,24.2,30.3,35.7,2374.98,elec,1
86,86,2006,8.0,education,585.0,8,12.0,3,1924,20.5,29.7,,705.09,gas,2
87,87,2009,9.0,education,420.0,1,12.0,6,1925,22.0,27.8,33.6,3725.57,elec,1
88,88,2011,9.0,commercial,372.0,6,55.0,3,1997,20.2,26.0,32.9,1218.67,oil,3
89,89,2006,8.0,commercial,357.0,7,337.0,6,1921,22.5,28.6,35.8,4248.7,elec,1
90,90,2009,1.0,office,1418.0,5,12.0,20,1964,8.7,15.1,24.7,26893.5,gas,2
91,91,2007,9.0,education,442.0,5,337.0,5,1922,19.8,26.0,32.8,2312.01,oil,3
92,92,2014,12.0,office,1210.0,1,117.0,7,2004,4.7,14.4,20.4,11408.28,oil,3
93,93,2007,4.0,commercial,813.0,3,12.0,4,1961,19.9,26.0,34.3,3786.86,oil,3
94,94,2011,1.0,commercial,339.0,1,12.0,1,1926,9.6,15.7,21.6,638.67,oil,3
95,95,2013,4.0,commercial,365.0,3,203.0,2,1963,18.4,26.9,32.6,54.18,gas,2
96,96,2014,8.0,commercial,252.0,8,337.0,5,1976,25.4,29.1,35.1,2095.21,elec,1
97,97,2008,3.0,commercial,831.0,8,172.0,2,1933,16.2,23.2,30.0,1142.55,gas,2
98,98,2014,10.0,education,156.0,3,-7.0,3,1978,14.7,22.9,28.6,509.48,elec,1
99,99,2013,8.0,office,1292.0,1,37.0,5,1992,24.2,29.1,35.0,5788.16,elec,1
100,100,2012,2.0,factory,342.0,4,172.0,2,1984,12.3,19.6,27.1,608.5,oil,3
101,101,2008,5.0,education,187.0,1,172.0,4,2002,18.2,29.1,35.7,665.12,oil,3
102,102,2010,4.0,factory,268.0,8,37.0,2,1963,21.1,27.2,32.9,477.48,elec,1
103,103,2013,6.0,commercial,1554.0,4,37.0,1,1995,25.8,30.5,36.5,2686.43,elec,1
104,104,2012,7.0,commercial,1105.0,7,117.0,6,1966,26.5,31.4,38.6,9954.95,oil,3
105,105,2011,8.0,factory,388.0,2,337.0,1,1941,23.1,28.9,38.0,340.59,elec,1
106,106,2007,10.0,residential,679.0,2,37.0,4,1987,16.5,23.4,29.7,2000.5,gas,2
107,107,2014,12.0,residential,486.0,2,-7.0,17,2006,10.8,14.9,22.2,5578.34,gas,2
108,108,2010,4.0,residential,880.0,5,12.0,8,2000,22.4,27.6,33.4,6780.53,elec,1
109,109,2006,3.0,residential,179.0,3,12.0,7,1978,19.5,23.0,27.4,1079.89,elec,1
110,110,2008,4.0,factory,1515.0,3,117.0,6,1934,21.9,26.0,31.5,5503.77,oil,3
111,111,2013,7.0,commercial,339.0,1,12.0,1,1926,24.0,31.2,38.1,611.28,elec,1
112,112,2014,9.0,commercial,657.0,2,19.0,5,1972,18.8,26.5,33.1,6799.16,elec,1
113,113,2010,2.0,office,1210.0,1,117.0,7,2004,12.4,19.5,25.1,5513.97,gas,2
114,114,2006,12.0,office,279.0,6,12.0,18,1945,8.1,14.2,19.4,3892.05,gas,2
115,115,2011,2.0,commercial,1003.0,4,-7.0,6,1994,11.2,19.6,25.6,10898.84,elec,1
116,116,2013,2.0,commercial,215.0,4,37.0,6,1981,15.4,19.2,23.2,2017.66,elec,1
117,117,2014,4.0,education,254.0,1,337.0,3,1963,20.8,27.0,34.5,744.09,gas,2
118,118,2005,9.0,office,279.0,6,12.0,18,1945,19.4,26.4,34.0,5062.18,elec,1
119,119,2010,3.0,commercial,1707.0,4,172.0,6,2006,19.2,24.4,30.4,13901.93,oil,3
120,120,2007,2.0,factory,268.0,8,37.0,2,1963,15.9,21.5,27.1,477.48,elec,1
121,121,2014,2.0,commercial,232.0,5,172.0,3,1976,12.8,20.2,25.2,815.13,oil,3
122,122,2014,4.0,office,249.0,6,337.0,3,1940,21.6,27.3,34.2,582.66,oil,3
123,123,2011,10.0,education,453.0,5,55.0,2,1937,14.7,22.8,26.9,896.51,gas,2
124,124,2007,1.0,commercial,489.0,6,37.0,2,1934,8.8,15.2,22.4,1739.89,oil,3
125,125,2008,5.0,commercial,429.0,8,51.0,1,1963,20.2,29.6,34.1,294.92,gas,2
126,126,2008,5.0,office,1266.0,6,37.0,29,1952,20.6,29.6,36.8,37007.71,elec,1
127,127,2010,4.0,residential,3228.0,3,-7.0,5,1944,17.1,26.4,31.5,851.08,gas,2
128,128,2010,2.0,factory,379.0,2,117.0,1,1973,14.4,20.3,,367.71,elec,1
129,129,2005,9.0,residential,594.0,8,337.0,26,1994,20.6,26.9,32.8,11925.86,oil,3
130,130,2012,10.0,office,601.0,1,19.0,15,1934,18.6,23.1,26.4,8077.44,elec,1
131,131,2011,10.0,commercial,615.0,6,172.0,5,1998,15.2,23.6,28.7,6509.16,elec,1
132,132,2008,5.0,commercial,5947.0,6,12.0,2,1996,21.6,28.7,,10840.19,gas,2
133,133,2011,5.0,residential,464.0,3,12.0,3,2001,22.7,29.3,34.8,66.41,gas,2
134,134,2012,6.0,commercial,539.0,6,172.0,4,2009,25.5,30.1,37.4,2118.92,oil,3
135,135,2014,6.0,residential,239.0,5,37.0,18,1998,25.9,30.5,36.2,4851.541864684603,oil,3
136,136,2006,9.0,education,857.0,8,37.0,6,1966,20.5,26.8,33.0,4572.27,oil,3
137,137,2013,11.0,factory,218.0,3,203.0,1,1971,14.7,19.8,24.5,158.62,oil,3
138,138,2011,3.0,factory,452.0,5,-7.0,2,1939,19.3,24.5,32.1,498.72,oil,3
139,139,2008,4.0,education,351.0,6,117.0,1,1979,20.4,25.5,30.8,274.2,gas,2
140,140,2008,1.0,factory,2362.0,6,117.0,6,2007,9.1,15.2,21.9,6589.98,gas,2
141,141,2013,3.0,office,225.0,6,19.0,23,1946,16.4,23.7,31.4,4417.95,oil,3
142,142,2005,3.0,education,457.0,4,37.0,6,1961,17.2,24.4,29.8,2999.22,oil,3
143,143,2011,9.0,commercial,2080.0,2,117.0,6,2006,17.7,27.2,32.9,23678.05,elec,1
144,144,2009,5.0,residential,163.0,1,12.0,21,1989,23.6,28.6,33.2,2643.24,oil,3
145,145,2013,10.0,education,388.0,4,172.0,2,1936,17.8,22.8,28.8,692.81,gas,2
146,146,2005,6.0,office,529.0,2,117.0,26,1989,22.6,30.7,35.9,18639.42,elec,1
147,147,2011,10.0,education,1107.0,4,203.0,4,1927,18.2,23.2,31.2,5085.12,oil,3
148,148,2008,6.0,factory,833.0,2,117.0,4,1935,25.5,29.8,34.4,2130.4,gas,2
149,149,2008,5.0,factory,306.0,6,337.0,5,1989,26.0,29.7,36.3,984.56,oil,3
150,150,2006,10.0,commercial,435.0,6,203.0,6,1925,13.0,23.1,29.7,4287.01,oil,3
151,151,2005,1.0,residential,1024.0,6,203.0,23,1967,8.2,15.8,24.6,27032.28,oil,3
152,152,2007,6.0,commercial,599.0,8,337.0,1,1948,24.5,30.8,36.1,411.79,gas,2
153,153,2005,10.0,residential,954.0,8,117.0,27,1943,17.1,22.9,28.8,8796.25,gas,2
154,154,2008,3.0,commercial,157.0,6,12.0,3,1921,17.9,23.3,29.2,408.83,gas,2
155,155,2009,2.0,commercial,489.0,6,37.0,2,1934,14.4,19.7,25.8,1380.15,elec,1
156,156,2013,1.0,education,565.0,5,117.0,5,2006,9.5,15.6,23.3,3634.01,gas,2
157,157,2011,10.0,commercial,547.0,7,203.0,1,1979,16.1,23.2,30.6,1027.43,oil,3
158,158,2012,1.0,commercial,656.6619098651926,4,172.0,3,1959,7.1,14.5,22.5,853.07,gas,2
159,159,2012,12.0,education,320.0,2,203.0,5,1944,9.4,16.55,23.7,2370.22,oil,3
160,160,2010,5.0,education,243.0,8,19.0,6,1991,23.0,29.4,35.8,781.02,gas,2
161,161,2013,9.0,commercial,912.0,6,172.0,6,1951,20.1,27.0,34.3,5937.12,gas,2
162,162,2014,8.0,education,173.0,6,51.0,6,1999,22.9,29.2,35.2,1395.07,elec,1
163,163,2006,12.0,education,837.0,5,203.0,3,1934,7.1,15.8,24.3,3105.86,gas,2
164,164,2010,2.0,commercial,260.0,7,337.0,6,1929,14.5,19.7,24.3,3234.94,elec,1
165,165,2007,12.0,residential,924.0,7,203.0,25,1931,4.4,13.55,22.7,37146.25,oil,3
166,166,2011,2.0,education,442.0,5,337.0,5,1922,15.0,19.7,26.4,2186.84,gas,2
167,167,2010,5.0,residential,800.0,7,203.0,2,1978,24.9,28.8,34.4,1026.72,gas,2
168,168,2007,10.0,commercial,360.0,3,12.0,3,1948,18.4,24.0,28.8,1752.71,elec,1
169,169,2007,8.0,education,471.0,8,117.0,3,2001,23.9,29.1,36.3,2397.58,elec,1
170,170,2013,12.0,residential,1068.0,1,12.0,11,1946,8.7,14.1,19.0,11249.88,elec,1
171,171,2011,2.0,office,1084.0,8,19.0,24,1924,12.8,20.2,28.1,24738.56,oil,3
172,172,2010,3.0,residential,591.0,5,-7.0,20,1964,14.5,23.1,28.3,9649.3,gas,2
173,173,2007,4.0,education,420.0,1,12.0,6,1925,20.7,26.5,31.6,1870.19,gas,2
174,174,2009,10.0,factory,218.0,3,203.0,1,1971,17.8,23.15,28.5,10.04,gas,2
175,175,2008,6.0,factory,2362.0,6,117.0,6,2007,25.1,30.3,35.5,12499.7,elec,1
176,176,2008,5.0,education,480.0,4,51.0,2,1951,20.8,29.25,37.7,1219.28,elec,1
177,177,2005,9.0,residential,233.0,7,51.0,12,1949,22.4,27.599999999999998,32.8,4051.4,elec,1
178,178,2005,10.0,office,1342.0,6,19.0,5,1944,16.8,22.4,28.4,7890.96,elec,1
179,179,2007,4.0,office,1342.0,6,19.0,5,1944,22.2,27.2,32.5,8642.48,elec,1
180,180,2007,9.0,office,474.0,2,51.0,26,1992,19.8,27.2,36.2,8825.22,gas,2
181,181,2013,8.0,education,2447.0,8,19.0,6,1943,21.1,29.2,34.2,12368.12,oil,3
182,182,2010,10.0,office,1292.0,1,37.0,5,1992,18.4,24.1,29.8,4836.28,gas,2
183,183,2009,4.0,office,285.0,7,55.0,8,1932,21.6,27.2,32.8,2936.64,elec,1
184,184,2010,7.0,education,812.0,7,337.0,3,2008,22.8,30.2,36.2,3277.64,oil,3
185,185,2007,1.0,education,585.0,8,12.0,3,1924,2.1,14.1,20.6,799.1,gas,2
186,186,2012,11.0,commercial,553.0,4,12.0,2,2001,15.1,19.7,23.4,2239.72,oil,3
187,187,2012,6.0,factory,595.0,7,37.0,1,1999,25.6,30.3,36.2,369.83,oil,3
188,188,2014,11.0,commercial,488.0,2,55.0,5,1995,11.8,18.9,24.2,3787.66,elec,1
189,189,2014,11.0,factory,788.0,4,117.0,6,1998,14.9,19.9,26.2,2198.52,gas,2
190,190,2010,10.0,commercial,425.0,8,117.0,3,1956,17.7,23.0,28.7,1691.3,oil,3
191,191,2006,10.0,education,488.0,6,172.0,4,2006,16.5,23.6,27.9,2361.14,elec,1
192,192,2011,3.0,office,225.0,6,19.0,23,1946,17.7,23.7,28.8,4300.29,oil,3
193,193,2010,3.0,commercial,1128.0,6,172.0,1,2008,19.6,24.5,28.9,1768.7,elec,1
194,194,2010,3.0,office,286.0,3,55.0,15,1937,19.0,24.0,27.5,263.32,gas,2
195,195,2005,3.0,commercial,176.0,6,55.0,24,1972,16.3,22.7,32.5,3011.71,gas,2
196,196,2010,8.0,education,411.0,4,172.0,2,1949,24.0,29.0,33.7,807.86,oil,3
197,197,2011,1.0,office,921.0,6,51.0,27,1979,9.3,15.6,22.1,25956.08,oil,3
198,198,2005,1.0,office,956.0,2,51.0,13,2002,5.2,14.3,20.6,6780.72,gas,2
199,199,2011,10.0,education,599.0,1,337.0,2,1946,17.3,23.4,28.5,1179.3,oil,3
200,200,2009,10.0,residential,239.0,5,37.0,18,1998,17.0,23.0,29.9,4189.92,oil,3
201,201,2006,2.0,education,457.0,4,37.0,6,1961,15.2,20.15,25.1,2244.05,gas,2
202,202,2007,3.0,residential,239.0,5,37.0,18,1998,17.6,23.8,31.0,3671.59,gas,2
203,203,2013,9.0,commercial,657.0,5,337.0,1,1964,22.3,26.3,31.5,758.47,gas,2
204,204,2012,10.0,education,388.0,4,172.0,2,1936,16.4,22.4,26.8,985.58,elec,1
205,205,2010,9.0,commercial,372.0,6,55.0,3,1997,21.8,28.4,31.9,968.69,gas,2
206,206,2006,9.0,education,1013.0,4,117.0,6,1977,20.6,26.3,34.4,6570.8,oil,3
207,207,2011,3.0,commercial,553.0,4,12.0,2,2001,16.6,24.0,30.4,1773.94,oil,3
208,208,2005,9.0,residential,863.0,5,19.0,4,1940,20.1,26.7,33.3,2108.27,oil,3
209,209,2014,2.0,office,623.0,2,172.0,8,1974,13.7,18.6,24.6,7982.37,elec,1
210,210,2005,3.0,office,549.0,8,19.0,3,1972,17.6,23.8,27.7,1490.47,elec,1
211,211,2007,8.0,education,525.0,8,117.0,1,1993,24.5,29.7,34.2,855.19,elec,1
212,212,2008,5.0,factory,625.0,2,51.0,1,1975,19.5,29.6,34.8,476.29,oil,3
213,213,2006,6.0,education,243.0,8,19.0,6,1991,22.9,31.8,37.1,1880.19,elec,1
214,214,2005,8.0,office,464.0,5,55.0,18,1947,22.7,28.9,34.0,7575.77,gas,2
215,215,2011,11.0,commercial,589.0,2,12.0,2,1956,14.9,19.3,26.5,2098.25,oil,3
216,216,2013,3.0,factory,240.0,3,37.0,5,1957,16.3,23.3,28.2,55.24,gas,2
217,217,2007,3.0,education,529.0,1,55.0,4,1974,16.5,23.8,30.9,1818.32,gas,2
218,218,2012,9.0,commercial,589.0,2,12.0,2,1956,22.3,27.9,38.3,1485.76,oil,3
219,219,2010,8.0,office,1292.0,1,37.0,5,1992,24.3,28.65,33.0,6873.44,elec,1
220,220,2011,9.0,commercial,367.0,2,-7.0,6,1974,17.4,28.0,33.0,2512.79,oil,3
221,221,2008,7.0,education,1527.0,5,117.0,3,1983,23.9,30.3,39.6,4103.44,oil,3
222,222,2012,12.0,office,493.0,1,51.0,28,1995,7.8,14.5,22.7,10334.36,gas,2
223,223,2013,10.0,commercial,1178.0,4,117.0,3,1930,16.6,23.4,29.4,4037.7,oil,3
224,224,2006,8.0,factory,342.0,4,172.0,2,1984,22.2,29.2,37.3,754.11,elec,1
225,225,2008,2.0,residential,244.0,6,117.0,23,1994,9.9,18.9,24.2,3444.65,gas,2
226,226,2006,6.0,commercial,334.0,8,37.0,4,2001,22.4,30.2,36.1,2433.17,elec,1
227,227,2009,10.0,office,464.0,5,55.0,18,1947,15.8,22.5,28.7,7231.41,gas,2
228,228,2010,9.0,office,460.0,3,12.0,16,1981,18.1,26.3,32.1,8902.66,elec,1
229,229,2011,8.0,factory,923.0,8,12.0,3,1975,23.5,29.6,34.9,973.41,gas,2
230,230,2007,4.0,education,508.0,2,19.0,3,2006,23.1,28.05,33.0,1412.2,oil,3
231,231,2006,7.0,commercial,831.0,8,172.0,2,1933,25.3,30.5,35.3,2087.14,oil,3
232,232,2006,9.0,commercial,1554.0,4,37.0,1,1995,17.2,26.4,32.7,1348.87,gas,2
233,233,2010,10.0,education,337.0,8,203.0,1,1940,16.3,23.7,28.8,378.16,oil,3
234,234,2006,2.0,commercial,776.0,7,117.0,3,2002,12.6,19.5,25.3,2556.19,gas,2
235,235,2008,10.0,office,529.0,2,117.0,26,1989,12.8,23.8,29.7,13566.35,oil,3
236,236,2007,12.0,commercial,553.0,4,12.0,2,2001,7.3,15.1,21.7,2003.01,elec,1
237,237,2005,4.0,office,943.0,8,37.0,7,1925,18.7,26.5,32.6,6863.58,oil,3
238,238,2007,4.0,commercial,599.0,8,337.0,1,1948,17.7,26.0,32.9,1043.49,elec,1
239,239,2005,5.0,residential,293.0,8,172.0,28,1972,24.6,30.1,37.8,9605.18,elec,1
240,240,2012,3.0,residential,1024.0,6,203.0,23,1967,16.3,23.5,30.1,14456.22,gas,2
241,241,2006,12.0,residential,163.0,1,12.0,21,1989,6.5,15.1,22.7,2950.1,oil,3
242,242,2012,7.0,residential,679.0,2,37.0,4,1987,26.8,30.7,38.8,1833.79,gas,2
243,243,2006,2.0,residential,258.0,3,51.0,9,1962,13.2,20.0,26.5,2001.19,elec,1
244,244,2014,1.0,commercial,588.0,2,12.0,4,1963,10.2,15.5,22.0,5182.31,oil,3
245,245,2013,9.0,residential,1068.0,1,12.0,11,1946,21.0,26.8,33.2,13618.28,elec,1
246,246,2010,12.0,factory,953.0,2,-7.0,1,1982,9.6,15.4,20.7,463.09,gas,2
247,247,2007,9.0,office,464.0,5,55.0,18,1947,20.5,26.8,32.5,6234.43,oil,3
248,248,2005,10.0,factory,371.0,5,-7.0,6,1953,17.8,24.2,32.5,1445.5,gas,2
249,249,2014,5.0,education,299.0,6,37.0,5,1936,22.8,29.2,34.7,2310.67,elec,1
250,250,2006,2.0,commercial,1554.0,4,37.0,1,1995,10.9,20.3,25.3,2686.43,elec,1
251,251,2007,9.0,office,843.0,4,203.0,4,1941,20.3,26.5,35.0,2761.67,oil,3
252,252,2006,4.0,factory,833.0,2,117.0,4,1935,20.5,27.2,33.8,2130.4,gas,2
253,253,2013,5.0,office,225.0,6,19.0,23,1946,22.5,29.1,36.3,5506.2,elec,1
254,254,2007,11.0,residential,449.0,1,337.0,29,1926,12.9,19.4,27.2,13964.77,oil,3
255,255,2005,8.0,office,172.0,1,19.0,23,1947,22.5,28.9,34.7,4873.79,elec,1
256,256,2008,7.0,residential,656.6619098651926,1,12.0,11,1946,25.0,31.3,37.2,9484.16,oil,3
257,257,2012,7.0,commercial,442.0,1,172.0,5,1953,24.2,30.2,37.2,2014.19,gas,2
258,258,2009,8.0,commercial,232.0,5,172.0,3,1976,22.7,28.6,33.4,964.19,gas,2
259,259,2007,9.0,education,581.0,7,337.0,5,1984,21.6,27.0,33.4,4714.47,elec,1
260,260,2009,10.0,commercial,388.0,4,37.0,3,1970,14.7,22.9,29.0,1628.95,elec,1
261,261,2013,11.0,education,1862.0,8,19.0,6,1945,12.7,19.8,28.5,5984.62,gas,2
262,262,2009,8.0,residential,591.0,5,-7.0,20,1964,22.0,29.1,36.0,9758.02,elec,1
263,263,2013,4.0,commercial,448.0,1,-7.0,6,1987,22.5,26.4,31.6,3522.36,oil,3
264,264,2006,10.0,office,968.0,3,-7.0,3,1965,17.4,23.3,28.9,4851.541864684603,gas,2
265,265,2005,1.0,factory,452.0,5,-7.0,2,1939,7.0,15.0,22.1,735.18,oil,3
266,266,2013,1.0,education,429.0,5,37.0,5,1994,4.8,14.7,18.5,2826.8,oil,3
267,267,2010,10.0,education,471.0,8,117.0,3,2001,18.4,24.4,30.4,1607.78,oil,3
268,268,2011,9.0,education,837.0,5,203.0,3,1934,23.2,27.1,32.9,2249.23,oil,3
269,269,2012,8.0,office,657.0,5,203.0,24,1999,23.8,29.0,36.3,12305.19,oil,3
270,270,2006,1.0,education,451.0,5,203.0,4,1978,6.2,14.6,22.7,2316.68,elec,1
271,271,2013,8.0,office,172.0,1,19.0,23,1947,23.9,28.8,35.0,5316.86,elec,1
