measure,year,month,sector,size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source
22,2014,7.0,education,,7,12.0,5,1983,27.7,31.8,39.5,2193.16,oil
23,2012,1.0,office,,7,37.0,4,1991,9.0,15.7,22.9,1982.94,oil
24,2012,9.0,commercial,442.0,1,172.0,5,1953,23.0,27.8,32.0,3292.02,elec
25,2012,3.0,,233.0,7,51.0,12,1949,16.5,23.4,31.1,3565.24,elec
26,2012,1.0,residential,1172.0,8,12.0,2,1997,9.9,15.0,18.9,1177.16,gas
27,2006,11.0,factory,595.0,7,37.0,1,1999,8.7,18.5,22.8,745.08,oil
28,2005,11.0,education,525.0,8,117.0,1,1993,11.1,19.1,26.8,855.19,elec
29,2006,12.0,commercial,776.0,7,117.0,3,2002,6.0,14.1,19.3,2323.81,gas
30,2014,12.0,commercial,831.0,8,172.0,2,1933,4.7,15.2,20.8,2758.02,oil
31,2014,6.0,commercial,437.0,1,-7.0,3,1960,24.6,30.1,36.1,1374.07,gas
32,2014,6.0,commercial,615.0,6,172.0,5,1998,24.5,30.1,34.4,2669.1,gas
33,2009,9.0,education,508.0,2,19.0,3,2006,20.9,26.7,33.0,1184.88,gas
34,2008,10.0,commercial,435.0,6,203.0,6,1925,19.4,23.4,28.1,1925.66,gas
35,2011,7.0,office,331.0,1,55.0,19,1964,25.4,31.4,36.2,6339.31,elec
36,2005,5.0,office,956.0,2,51.0,13,2002,24.2,29.8,37.8,11196.39,oil
37,2012,10.0,office,956.0,2,51.0,13,2002,17.1,24.2,30.2,9760.58,oil
38,2013,12.0,factory,987.0,5,203.0,2,1934,7.7,15.6,24.3,1659.82,elec
39,2012,9.0,education,299.0,6,37.0,5,1936,19.6,26.2,31.2,1496.01,oil
40,2006,4.0,factory,323.0,5,117.0,3,1963,19.0,27.2,33.0,659.21,gas
41,2014,6.0,office,258.0,4,117.0,11,1950,25.4,30.5,35.1,4004.99,elec
42,2010,9.0,education,911.0,5,172.0,1,1986,21.4,27.1,35.4,853.12,oil
43,2008,12.0,commercial,524.0,6,117.0,3,1929,9.8,,20.5,3035.59,oil
44,2006,5.0,commercial,442.0,1,172.0,5,1953,22.0,28.6,35.6,3638.54,elec
45,2011,12.0,education,837.0,5,203.0,3,1934,9.9,14.6,21.8,2608.92,gas
46,2006,5.0,commercial,129.0,1,337.0,2,1952,24.5,29.8,37.4,270.41,gas
47,2008,11.0,residential,486.0,2,-7.0,17,2006,11.9,18.8,26.2,10993.09,elec
48,2008,10.0,commercial,157.0,6,12.0,3,1921,19.9,24.2,28.6,583.69,oil
49,2012,11.0,commercial,184.0,4,-7.0,2,1926,13.6,20.2,27.9,549.5,oil
50,2011,8.0,office,968.0,3,-7.0,3,1965,22.2,29.5,36.5,194.45,gas
51,2009,11.0,office,976.0,3,19.0,26,2001,11.0,19.5,24.8,27549.28,oil
52,2006,1.0,education,173.0,6,51.0,6,1999,10.1,,21.6,1912.05,oil
53,2006,12.0,commercial,157.0,6,12.0,3,1921,9.1,15.1,20.3,429.27,gas
54,2007,2.0,factory,368.0,7,-7.0,1,1932,10.3,,23.6,373.26,elec
55,2012,9.0,factory,452.0,5,-7.0,2,1939,20.6,27.7,,552.11,oil
56,2012,8.0,residential,1085.0,5,37.0,7,1928,24.1,29.1,35.8,4870.5,oil
57,2009,9.0,residential,1085.0,5,37.0,7,1928,22.0,27.2,34.9,5918.38,gas
58,2011,7.0,education,1114.0,4,51.0,4,1924,25.1,30.8,37.2,,gas
59,2013,7.0,residential,350.0,3,19.0,22,1963,22.9,29.8,35.5,464.03,gas
60,2011,4.0,education,187.0,1,172.0,4,2002,22.1,26.5,31.5,955.05,elec
61,2014,7.0,commercial,290.0,2,51.0,4,2003,24.6,29.5,33.7,1323.72,oil
62,2007,6.0,residential,449.0,1,337.0,29,1926,25.1,30.3,35.2,10968.89,oil
63,2008,8.0,factory,218.0,4,37.0,6,1990,23.0,29.3,35.8,638.63,gas
64,2009,1.0,commercial,844.0,3,-7.0,2,1996,10.0,15.2,24.5,145.05,gas
65,2010,6.0,factory,819.0,3,37.0,6,2006,24.5,30.4,35.0,4829.48,elec
66,2007,6.0,office,1342.0,6,19.0,5,1944,25.2,30.7,35.8,5495.49,oil
67,2005,6.0,education,861.0,7,19.0,5,2003,22.1,29.5,36.4,4051.69,gas
68,2011,4.0,office,956.0,2,51.0,13,2002,17.5,26.7,35.1,11196.39,oil
69,2010,5.0,commercial,657.0,5,337.0,1,1964,24.5,29.9,36.3,890.59,elec
70,2011,11.0,factory,368.0,7,-7.0,1,1932,13.3,20.0,27.4,226.31,gas
71,2010,3.0,residential,954.0,8,117.0,27,1943,16.4,23.8,29.8,30157.26,elec
72,2014,5.0,commercial,941.0,3,117.0,4,1954,22.5,29.6,38.6,4514.99,elec
73,2013,3.0,education,837.0,5,203.0,3,1934,16.3,23.9,28.6,2608.92,gas
74,2005,11.0,commercial,339.0,1,12.0,1,1926,13.0,20.2,31.4,503.94,oil
75,2013,11.0,commercial,854.0,4,337.0,1,1936,12.8,19.4,26.1,1824.14,oil
76,2006,1.0,commercial,1265.0,7,117.0,3,1971,9.3,13.6,21.9,6843.14,elec
77,2005,11.0,commercial,317.0,8,51.0,2,1976,13.7,20.0,26.7,396.22,gas
78,2007,8.0,education,1919.0,3,37.0,6,1962,23.0,29.1,34.5,,gas
79,2013,2.0,factory,268.0,8,37.0,2,1963,11.8,19.7,25.1,477.48,elec
80,2010,6.0,commercial,372.0,6,55.0,3,1997,23.6,30.4,36.6,1017.12,gas
81,2009,5.0,residential,379.0,8,19.0,27,1941,23.3,29.8,40.7,7901.92,oil
82,2013,5.0,commercial,524.0,6,117.0,3,1929,23.0,29.2,35.7,1544.96,oil
83,2008,12.0,residential,464.0,3,12.0,3,2001,6.7,14.8,21.1,76.9,gas
84,2014,6.0,residential,293.0,8,172.0,28,1972,25.8,30.9,37.9,10022.79,elec
85,2013,6.0,education,243.0,8,19.0,6,1991,24.2,30.3,35.7,2374.98,elec
86,2006,8.0,education,585.0,8,12.0,3,1924,20.5,29.7,,705.09,gas
87,2009,9.0,education,420.0,1,12.0,6,1925,22.0,,33.6,3725.57,elec
88,2011,9.0,commercial,372.0,6,55.0,3,1997,20.2,26.0,32.9,1218.67,oil
89,2006,8.0,commercial,357.0,7,337.0,6,1921,22.5,28.6,35.8,4248.7,elec
90,2009,1.0,office,1418.0,5,12.0,20,1964,8.7,15.1,24.7,26893.5,gas
91,2007,9.0,education,442.0,5,337.0,5,1922,19.8,26.0,32.8,2312.01,oil
92,2014,12.0,office,1210.0,1,117.0,7,2004,4.7,14.4,20.4,11408.28,oil
93,2007,4.0,commercial,813.0,3,12.0,4,1961,19.9,26.0,34.3,3786.86,oil
94,2011,1.0,commercial,339.0,1,12.0,1,1926,9.6,15.7,21.6,638.67,oil
95,2013,4.0,commercial,365.0,3,203.0,2,1963,18.4,26.9,32.6,54.18,gas
96,2014,8.0,commercial,252.0,8,337.0,5,1976,25.4,29.1,35.1,2095.21,elec
97,2008,3.0,commercial,831.0,8,172.0,2,1933,16.2,23.2,30.0,1142.55,gas
98,2014,10.0,education,156.0,3,-7.0,3,1978,14.7,22.9,28.6,509.48,elec
99,2013,8.0,office,1292.0,1,37.0,5,1992,24.2,29.1,35.0,5788.16,elec
100,2012,2.0,factory,342.0,4,172.0,2,1984,12.3,19.6,27.1,608.5,oil
101,2008,5.0,education,187.0,1,172.0,4,2002,18.2,29.1,35.7,665.12,oil
102,2010,4.0,factory,268.0,8,37.0,2,1963,21.1,27.2,32.9,477.48,elec
103,2013,6.0,commercial,1554.0,4,37.0,1,1995,25.8,30.5,36.5,2686.43,elec
104,2012,7.0,commercial,1105.0,7,117.0,6,1966,26.5,31.4,38.6,9954.95,oil
105,2011,8.0,factory,388.0,2,337.0,1,1941,23.1,28.9,38.0,340.59,elec
106,2007,10.0,residential,679.0,2,37.0,4,1987,16.5,23.4,29.7,2000.5,gas
107,2014,12.0,residential,486.0,2,-7.0,17,2006,10.8,14.9,22.2,5578.34,gas
108,2010,4.0,residential,880.0,5,12.0,8,2000,22.4,27.6,33.4,6780.53,elec
109,2006,3.0,residential,179.0,3,12.0,7,1978,19.5,23.0,27.4,1079.89,elec
110,2008,4.0,factory,1515.0,3,117.0,6,1934,21.9,26.0,31.5,5503.77,oil
111,2013,7.0,commercial,339.0,1,12.0,1,1926,24.0,31.2,38.1,611.28,elec
112,2014,9.0,commercial,657.0,2,19.0,5,1972,18.8,26.5,33.1,6799.16,elec
113,2010,2.0,office,1210.0,1,117.0,7,2004,12.4,19.5,25.1,5513.97,gas
114,2006,12.0,office,279.0,6,12.0,18,1945,8.1,14.2,19.4,3892.05,gas
115,2011,2.0,commercial,1003.0,4,-7.0,6,1994,11.2,19.6,25.6,10898.84,elec
116,2013,2.0,commercial,215.0,4,37.0,6,1981,15.4,19.2,23.2,2017.66,elec
117,2014,4.0,education,254.0,1,337.0,3,1963,20.8,27.0,34.5,744.09,gas
118,2005,9.0,office,279.0,6,12.0,18,1945,19.4,26.4,34.0,5062.18,elec
119,2010,3.0,commercial,1707.0,4,172.0,6,2006,19.2,24.4,30.4,13901.93,oil
120,2007,2.0,factory,268.0,8,37.0,2,1963,15.9,,27.1,477.48,elec
121,2014,2.0,commercial,232.0,5,172.0,3,1976,12.8,20.2,25.2,815.13,oil
122,2014,4.0,office,249.0,6,337.0,3,1940,21.6,27.3,34.2,582.66,oil
123,2011,10.0,education,453.0,5,55.0,2,1937,14.7,22.8,26.9,896.51,gas
124,2007,1.0,commercial,489.0,6,37.0,2,1934,8.8,15.2,22.4,1739.89,oil
125,2008,5.0,commercial,429.0,8,51.0,1,1963,20.2,29.6,34.1,294.92,gas
126,2008,5.0,office,1266.0,6,37.0,29,1952,20.6,29.6,36.8,37007.71,elec
127,2010,4.0,residential,3228.0,3,-7.0,5,1944,17.1,26.4,31.5,851.08,gas
128,2010,2.0,factory,379.0,2,117.0,1,1973,14.4,20.3,,367.71,elec
129,2005,9.0,residential,594.0,8,337.0,26,1994,20.6,26.9,32.8,11925.86,oil
130,2012,10.0,office,601.0,1,19.0,15,1934,18.6,23.1,26.4,8077.44,elec
131,2011,10.0,commercial,615.0,6,172.0,5,1998,15.2,23.6,28.7,6509.16,elec
132,2008,5.0,commercial,5947.0,6,12.0,2,1996,21.6,28.7,,10840.19,gas
133,2011,5.0,residential,464.0,3,12.0,3,2001,22.7,29.3,34.8,66.41,gas
134,2012,6.0,commercial,539.0,6,172.0,4,2009,25.5,30.1,37.4,2118.92,oil
135,2014,6.0,residential,239.0,5,37.0,18,1998,25.9,30.5,36.2,,oil
136,2006,9.0,education,857.0,8,37.0,6,1966,20.5,26.8,33.0,4572.27,oil
137,2013,11.0,factory,218.0,3,203.0,1,1971,14.7,19.8,24.5,158.62,oil
138,2011,3.0,factory,452.0,5,-7.0,2,1939,19.3,24.5,32.1,498.72,oil
139,2008,4.0,education,351.0,6,117.0,1,1979,20.4,25.5,30.8,274.2,gas
140,2008,1.0,factory,2362.0,6,117.0,6,2007,9.1,15.2,21.9,6589.98,gas
141,2013,3.0,office,225.0,6,19.0,23,1946,16.4,23.7,31.4,4417.95,oil
142,2005,3.0,education,457.0,4,37.0,6,1961,17.2,24.4,29.8,2999.22,oil
143,2011,9.0,commercial,2080.0,2,117.0,6,2006,17.7,27.2,32.9,23678.05,elec
144,2009,5.0,residential,163.0,1,12.0,21,1989,23.6,28.6,33.2,2643.24,oil
145,2013,10.0,education,388.0,4,172.0,2,1936,17.8,22.8,28.8,692.81,gas
146,2005,6.0,office,529.0,2,117.0,26,1989,22.6,30.7,35.9,18639.42,elec
147,2011,10.0,education,1107.0,4,203.0,4,1927,18.2,23.2,31.2,5085.12,oil
148,2008,6.0,factory,833.0,2,117.0,4,1935,25.5,29.8,34.4,2130.4,gas
149,2008,5.0,factory,306.0,6,337.0,5,1989,26.0,29.7,36.3,984.56,oil
150,2006,10.0,,435.0,6,203.0,6,1925,13.0,23.1,29.7,4287.01,oil
151,2005,1.0,residential,1024.0,6,203.0,23,1967,8.2,15.8,24.6,27032.28,oil
152,2007,6.0,commercial,599.0,8,337.0,1,1948,24.5,30.8,36.1,411.79,gas
153,2005,10.0,residential,954.0,8,117.0,27,1943,17.1,22.9,28.8,8796.25,gas
154,2008,3.0,commercial,157.0,6,12.0,3,1921,17.9,23.3,29.2,408.83,gas
155,2009,2.0,commercial,489.0,6,37.0,2,1934,14.4,19.7,25.8,1380.15,elec
156,2013,1.0,education,565.0,5,117.0,5,2006,9.5,15.6,23.3,3634.01,gas
157,2011,10.0,commercial,547.0,7,203.0,1,1979,16.1,23.2,30.6,1027.43,oil
158,2012,1.0,commercial,,4,172.0,3,1959,7.1,14.5,22.5,853.07,gas
159,2012,12.0,education,320.0,2,203.0,5,1944,9.4,,23.7,2370.22,oil
160,2010,5.0,education,243.0,8,19.0,6,1991,23.0,,35.8,781.02,gas
161,2013,9.0,commercial,912.0,6,172.0,6,1951,20.1,27.0,34.3,5937.12,gas
162,2014,8.0,education,173.0,6,51.0,6,1999,22.9,29.2,35.2,1395.07,elec
163,2006,12.0,education,837.0,5,203.0,3,1934,7.1,15.8,24.3,3105.86,gas
164,2010,2.0,commercial,260.0,7,337.0,6,1929,14.5,19.7,24.3,3234.94,elec
165,2007,12.0,residential,924.0,7,203.0,25,1931,4.4,,22.7,37146.25,oil
166,2011,2.0,education,442.0,5,337.0,5,1922,15.0,19.7,26.4,2186.84,gas
167,2010,5.0,residential,800.0,7,203.0,2,1978,24.9,28.8,34.4,1026.72,gas
168,2007,10.0,commercial,360.0,3,12.0,3,1948,18.4,24.0,28.8,1752.71,elec
169,2007,8.0,education,471.0,8,117.0,3,2001,23.9,29.1,36.3,2397.58,elec
170,2013,12.0,residential,1068.0,1,12.0,11,1946,8.7,14.1,19.0,11249.88,elec
171,2011,2.0,office,1084.0,8,19.0,24,1924,12.8,20.2,28.1,24738.56,oil
172,2010,3.0,residential,591.0,5,-7.0,20,1964,14.5,23.1,28.3,9649.3,gas
173,2007,4.0,education,420.0,1,12.0,6,1925,20.7,26.5,31.6,1870.19,gas
174,2009,10.0,factory,218.0,3,203.0,1,1971,17.8,,28.5,10.04,gas
175,2008,6.0,factory,2362.0,6,117.0,6,2007,25.1,30.3,35.5,12499.7,elec
176,2008,5.0,education,480.0,4,51.0,2,1951,20.8,,37.7,1219.28,elec
177,2005,9.0,residential,233.0,7,51.0,12,1949,22.4,,32.8,4051.4,elec
178,2005,10.0,office,1342.0,6,19.0,5,1944,16.8,22.4,28.4,7890.96,elec
179,2007,4.0,office,1342.0,6,19.0,5,1944,22.2,27.2,32.5,8642.48,elec
180,2007,9.0,office,474.0,2,51.0,26,1992,19.8,27.2,36.2,8825.22,gas
181,2013,8.0,education,2447.0,8,19.0,6,1943,21.1,29.2,34.2,12368.12,oil
182,2010,10.0,office,1292.0,1,37.0,5,1992,18.4,24.1,29.8,4836.28,gas
183,2009,4.0,office,285.0,7,55.0,8,1932,21.6,27.2,32.8,2936.64,elec
184,2010,7.0,education,812.0,7,337.0,3,2008,22.8,30.2,36.2,3277.64,oil
185,2007,1.0,education,585.0,8,12.0,3,1924,2.1,14.1,20.6,799.1,gas
186,2012,11.0,commercial,553.0,4,12.0,2,2001,15.1,19.7,23.4,2239.72,oil
187,2012,6.0,factory,595.0,7,37.0,1,1999,25.6,30.3,36.2,369.83,oil
188,2014,11.0,commercial,488.0,2,55.0,5,1995,11.8,18.9,24.2,3787.66,elec
189,2014,11.0,factory,788.0,4,117.0,6,1998,14.9,19.9,26.2,2198.52,gas
190,2010,10.0,commercial,425.0,8,117.0,3,1956,17.7,23.0,28.7,1691.3,oil
191,2006,10.0,education,488.0,6,172.0,4,2006,16.5,23.6,27.9,2361.14,elec
192,2011,3.0,office,225.0,6,19.0,23,1946,17.7,23.7,28.8,4300.29,oil
193,2010,3.0,commercial,1128.0,6,172.0,1,2008,19.6,24.5,28.9,1768.7,elec
194,2010,3.0,office,286.0,3,55.0,15,1937,19.0,24.0,27.5,263.32,gas
195,2005,3.0,,176.0,6,55.0,24,1972,16.3,22.7,32.5,3011.71,gas
196,2010,8.0,education,411.0,4,172.0,2,1949,24.0,29.0,33.7,807.86,oil
197,2011,1.0,office,921.0,6,51.0,27,1979,9.3,15.6,22.1,25956.08,oil
198,2005,1.0,office,956.0,2,51.0,13,2002,5.2,14.3,20.6,6780.72,gas
199,2011,10.0,education,599.0,1,337.0,2,1946,17.3,23.4,28.5,1179.3,oil
200,2009,10.0,residential,239.0,5,37.0,18,1998,17.0,23.0,29.9,4189.92,oil
201,2006,2.0,education,457.0,4,37.0,6,1961,15.2,,25.1,2244.05,gas
202,2007,3.0,residential,239.0,5,37.0,18,1998,17.6,23.8,31.0,3671.59,gas
203,2013,9.0,commercial,657.0,5,337.0,1,1964,22.3,26.3,31.5,758.47,gas
204,2012,10.0,education,388.0,4,172.0,2,1936,16.4,22.4,26.8,985.58,elec
205,2010,9.0,commercial,372.0,6,55.0,3,1997,21.8,28.4,31.9,968.69,gas
206,2006,9.0,education,1013.0,4,117.0,6,1977,20.6,26.3,34.4,6570.8,oil
207,2011,3.0,commercial,553.0,4,12.0,2,2001,16.6,24.0,30.4,1773.94,oil
208,2005,9.0,residential,863.0,5,19.0,4,1940,20.1,26.7,33.3,2108.27,oil
209,2014,2.0,office,623.0,2,172.0,8,1974,13.7,18.6,24.6,7982.37,elec
210,2005,3.0,office,549.0,8,19.0,3,1972,17.6,23.8,27.7,1490.47,elec
211,2007,8.0,education,525.0,8,117.0,1,1993,24.5,29.7,34.2,855.19,elec
212,2008,5.0,factory,625.0,2,51.0,1,1975,19.5,29.6,34.8,476.29,oil
213,2006,6.0,education,243.0,8,19.0,6,1991,22.9,31.8,37.1,1880.19,elec
214,2005,8.0,office,464.0,5,55.0,18,1947,22.7,28.9,34.0,7575.77,gas
215,2011,11.0,commercial,589.0,2,12.0,2,1956,14.9,19.3,26.5,2098.25,oil
216,2013,3.0,factory,240.0,3,37.0,5,1957,16.3,23.3,28.2,55.24,gas
217,2007,3.0,education,529.0,1,55.0,4,1974,16.5,23.8,30.9,1818.32,gas
218,2012,9.0,commercial,589.0,2,12.0,2,1956,22.3,27.9,38.3,1485.76,oil
219,2010,8.0,office,1292.0,1,37.0,5,1992,24.3,,33.0,6873.44,elec
220,2011,9.0,commercial,367.0,2,-7.0,6,1974,17.4,28.0,33.0,2512.79,oil
221,2008,7.0,education,1527.0,5,117.0,3,1983,23.9,30.3,39.6,4103.44,oil
222,2012,12.0,office,493.0,1,51.0,28,1995,7.8,14.5,22.7,10334.36,gas
223,2013,10.0,commercial,1178.0,4,117.0,3,1930,16.6,23.4,29.4,4037.7,oil
224,2006,8.0,factory,342.0,4,172.0,2,1984,22.2,29.2,37.3,754.11,elec
225,2008,2.0,residential,244.0,6,117.0,23,1994,9.9,18.9,24.2,3444.65,gas
226,2006,6.0,commercial,334.0,8,37.0,4,2001,22.4,30.2,36.1,2433.17,elec
227,2009,10.0,office,464.0,5,55.0,18,1947,15.8,22.5,28.7,7231.41,gas
228,2010,9.0,office,460.0,3,12.0,16,1981,18.1,26.3,32.1,8902.66,elec
229,2011,8.0,factory,923.0,8,12.0,3,1975,23.5,29.6,34.9,973.41,gas
230,2007,4.0,education,508.0,2,19.0,3,2006,23.1,,33.0,1412.2,oil
231,2006,7.0,commercial,831.0,8,172.0,2,1933,25.3,30.5,35.3,2087.14,oil
232,2006,9.0,commercial,1554.0,4,37.0,1,1995,17.2,26.4,32.7,1348.87,gas
233,2010,10.0,education,337.0,8,203.0,1,1940,16.3,23.7,28.8,378.16,oil
234,2006,2.0,commercial,776.0,7,117.0,3,2002,12.6,19.5,25.3,2556.19,gas
235,2008,10.0,office,529.0,2,117.0,26,1989,12.8,23.8,29.7,13566.35,oil
236,2007,12.0,,553.0,4,12.0,2,2001,7.3,15.1,21.7,2003.01,elec
237,2005,4.0,office,943.0,8,37.0,7,1925,18.7,26.5,32.6,6863.58,oil
238,2007,4.0,commercial,599.0,8,337.0,1,1948,17.7,26.0,32.9,1043.49,elec
239,2005,5.0,residential,293.0,8,172.0,28,1972,24.6,30.1,37.8,9605.18,elec
240,2012,3.0,residential,1024.0,6,203.0,23,1967,16.3,23.5,30.1,14456.22,gas
241,2006,12.0,residential,163.0,1,12.0,21,1989,6.5,15.1,22.7,2950.1,oil
242,2012,7.0,residential,679.0,2,37.0,4,1987,26.8,30.7,38.8,1833.79,gas
243,2006,2.0,residential,258.0,3,51.0,9,1962,13.2,20.0,26.5,2001.19,elec
244,2014,1.0,commercial,588.0,2,12.0,4,1963,10.2,15.5,22.0,5182.31,oil
245,2013,9.0,residential,1068.0,1,12.0,11,1946,21.0,26.8,33.2,13618.28,elec
246,2010,12.0,factory,953.0,2,-7.0,1,1982,9.6,15.4,20.7,463.09,gas
247,2007,9.0,office,464.0,5,55.0,18,1947,20.5,26.8,32.5,6234.43,oil
248,2005,10.0,factory,371.0,5,-7.0,6,1953,17.8,24.2,32.5,1445.5,gas
249,2014,5.0,education,299.0,6,37.0,5,1936,22.8,29.2,34.7,2310.67,elec
250,2006,2.0,,1554.0,4,37.0,1,1995,10.9,20.3,25.3,2686.43,elec
251,2007,9.0,office,843.0,4,203.0,4,1941,20.3,26.5,35.0,2761.67,oil
252,2006,4.0,factory,833.0,2,117.0,4,1935,20.5,27.2,33.8,2130.4,gas
253,2013,5.0,office,225.0,6,19.0,23,1946,22.5,29.1,36.3,5506.2,elec
254,2007,11.0,residential,449.0,1,337.0,29,1926,12.9,19.4,27.2,13964.77,oil
255,2005,8.0,office,172.0,1,19.0,23,1947,22.5,28.9,34.7,4873.79,elec
256,2008,7.0,residential,,1,12.0,11,1946,25.0,31.3,37.2,9484.16,oil
257,2012,7.0,commercial,442.0,1,172.0,5,1953,24.2,30.2,37.2,2014.19,gas
258,2009,8.0,commercial,232.0,5,172.0,3,1976,22.7,28.6,33.4,964.19,gas
259,2007,9.0,education,581.0,7,337.0,5,1984,21.6,27.0,33.4,4714.47,elec
260,2009,10.0,commercial,388.0,4,37.0,3,1970,14.7,22.9,29.0,1628.95,elec
261,2013,11.0,education,1862.0,8,19.0,6,1945,12.7,19.8,28.5,5984.62,gas
262,2009,8.0,residential,591.0,5,-7.0,20,1964,22.0,29.1,36.0,9758.02,elec
263,2013,4.0,commercial,448.0,1,-7.0,6,1987,22.5,26.4,31.6,3522.36,oil
264,2006,10.0,office,968.0,3,-7.0,3,1965,17.4,23.3,28.9,,gas
265,2005,1.0,factory,452.0,5,-7.0,2,1939,7.0,15.0,22.1,735.18,oil
266,2013,1.0,education,429.0,5,37.0,5,1994,4.8,14.7,18.5,2826.8,oil
267,2010,10.0,education,471.0,8,117.0,3,2001,18.4,24.4,30.4,1607.78,oil
268,2011,9.0,education,837.0,5,203.0,3,1934,23.2,27.1,32.9,2249.23,oil
269,2012,8.0,office,657.0,5,203.0,24,1999,23.8,29.0,36.3,12305.19,oil
270,2006,1.0,education,451.0,5,203.0,4,1978,6.2,14.6,22.7,2316.68,elec
271,2013,8.0,office,172.0,1,19.0,23,1947,23.9,28.8,35.0,5316.86,elec
272,2006,1.0,office,279.0,6,12.0,18,1945,11.5,15.6,20.7,5825.6,oil
273,2010,11.0,commercial,301.0,7,12.0,2,1920,11.2,19.9,,1158.97,oil
274,2012,4.0,office,172.0,1,19.0,23,1947,18.0,27.4,32.5,3090.43,gas
275,2012,4.0,commercial,451.0,2,12.0,2,1981,19.5,,32.7,1789.14,elec
276,2009,5.0,education,1114.0,4,51.0,4,1924,20.0,29.6,35.7,3812.55,gas
277,2008,5.0,factory,520.0,7,117.0,2,1964,22.7,29.2,32.9,954.41,elec
278,2012,5.0,office,1266.0,6,37.0,29,1952,22.6,28.8,35.5,26177.08,gas
279,2005,2.0,education,,5,55.0,2,1937,12.0,,28.0,1163.48,elec
280,2006,12.0,residential,233.0,7,51.0,12,1949,7.6,14.6,22.0,4181.73,oil
281,2005,5.0,education,351.0,6,117.0,1,1979,22.8,28.6,33.2,274.2,gas
282,2012,8.0,office,356.0,1,55.0,25,1952,23.1,,37.0,5214.51,gas
283,2012,7.0,office,813.0,8,-7.0,20,2000,26.1,30.3,36.9,12048.66,oil
284,2005,10.0,commercial,588.0,2,12.0,4,1963,18.0,23.1,28.9,4056.73,elec
285,2007,6.0,commercial,524.0,6,117.0,3,1929,22.7,30.1,,2341.65,elec
286,2012,8.0,education,488.0,6,172.0,4,2006,21.6,29.2,36.2,3017.01,elec
287,2012,7.0,commercial,813.0,3,12.0,4,1961,25.8,30.9,36.1,254.05,gas
288,2009,12.0,factory,371.0,2,117.0,2,1945,8.2,14.1,23.6,754.17,elec
289,2013,9.0,factory,342.0,4,172.0,2,1984,20.1,25.9,32.4,723.95,elec
290,2009,8.0,,460.0,7,55.0,21,1967,23.0,29.1,34.0,9518.19,elec
291,2006,9.0,factory,595.0,7,37.0,1,1999,16.2,26.5,32.1,349.99,gas
292,2009,9.0,education,351.0,6,117.0,1,1979,20.1,26.6,34.9,248.09,gas
293,2009,8.0,residential,258.0,3,51.0,9,1962,24.9,29.7,35.5,139.93,gas
294,2013,10.0,education,861.0,7,19.0,5,2003,17.5,24.0,,6321.12,elec
295,2008,12.0,office,813.0,8,-7.0,20,2000,7.5,14.4,23.6,17473.65,elec
296,2006,9.0,education,399.0,5,12.0,4,1975,22.3,27.5,33.7,1500.31,gas
297,2010,9.0,education,312.0,1,-7.0,1,1941,21.7,27.1,32.4,440.29,elec
298,2013,4.0,education,525.0,8,117.0,1,1993,17.9,26.4,32.9,309.36,gas
