,measure,year,month,sector,floor_size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source
57,57,2009,9.0,residential,1085.0,5,37.0,7,1928,22.0,5918.38,5918.38,5918.38,2
58,58,2011,7.0,education,1114.0,4,51.0,4,1924,25.1,4851.541864684603,4851.541864684603,4851.541864684603,2
59,59,2013,7.0,residential,350.0,3,19.0,22,1963,22.9,464.03,464.03,464.03,2
60,60,2011,4.0,education,187.0,1,172.0,4,2002,22.1,955.05,955.05,955.05,1
61,61,2014,7.0,commercial,290.0,2,51.0,4,2003,24.6,1323.72,1323.72,1323.72,3
62,62,2007,6.0,residential,449.0,1,337.0,29,1926,25.1,10968.89,10968.89,10968.89,3
63,63,2008,8.0,factory,218.0,4,37.0,6,1990,23.0,638.63,638.63,638.63,2
64,64,2009,1.0,commercial,844.0,3,-7.0,2,1996,10.0,145.05,145.05,145.05,2
65,65,2010,6.0,factory,819.0,3,37.0,6,2006,24.5,4829.48,4829.48,4829.48,1
66,66,2007,6.0,office,1342.0,6,19.0,5,1944,25.2,5495.49,5495.49,5495.49,3
67,67,2005,6.0,education,861.0,7,19.0,5,2003,22.1,4051.69,4051.69,4051.69,2
68,68,2011,4.0,office,956.0,2,51.0,13,2002,17.5,11196.39,11196.39,11196.39,3
69,69,2010,5.0,commercial,657.0,5,337.0,1,1964,24.5,890.59,890.59,890.59,1
70,70,2011,11.0,factory,368.0,7,-7.0,1,1932,13.3,226.31,226.31,226.31,2
71,71,2010,3.0,residential,954.0,8,117.0,27,1943,16.4,30157.26,30157.26,30157.26,1
72,72,2014,5.0,commercial,941.0,3,117.0,4,1954,22.5,4514.99,4514.99,4514.99,1
73,73,2013,3.0,education,837.0,5,203.0,3,1934,16.3,2608.92,2608.92,2608.92,2
74,74,2005,11.0,commercial,339.0,1,12.0,1,1926,13.0,503.94,503.94,503.94,3
75,75,2013,11.0,commercial,854.0,4,337.0,1,1936,12.8,1824.14,1824.14,1824.14,3
76,76,2006,1.0,commercial,1265.0,7,117.0,3,1971,9.3,6843.14,6843.14,6843.14,1
77,77,2005,11.0,commercial,317.0,8,51.0,2,1976,13.7,396.22,396.22,396.22,2
78,78,2007,8.0,education,1919.0,3,37.0,6,1962,23.0,4851.541864684603,4851.541864684603,4851.541864684603,2
79,79,2013,2.0,factory,268.0,8,37.0,2,1963,11.8,477.48,477.48,477.48,1
80,80,2010,6.0,commercial,372.0,6,55.0,3,1997,23.6,1017.12,1017.12,1017.12,2
81,81,2009,5.0,residential,379.0,8,19.0,27,1941,23.3,7901.92,7901.92,7901.92,3
82,82,2013,5.0,commercial,524.0,6,117.0,3,1929,23.0,1544.96,1544.96,1544.96,3
83,83,2008,12.0,residential,464.0,3,12.0,3,2001,6.7,76.9,76.9,76.9,2
84,84,2014,6.0,residential,293.0,8,172.0,28,1972,25.8,10022.79,10022.79,10022.79,1
85,85,2013,6.0,education,243.0,8,19.0,6,1991,24.2,2374.98,2374.98,2374.98,1
86,86,2006,8.0,education,585.0,8,12.0,3,1924,20.5,705.09,705.09,705.09,2
87,87,2009,9.0,education,420.0,1,12.0,6,1925,22.0,3725.57,3725.57,3725.57,1
88,88,2011,9.0,commercial,372.0,6,55.0,3,1997,20.2,1218.67,1218.67,1218.67,3
89,89,2006,8.0,commercial,357.0,7,337.0,6,1921,22.5,4248.7,4248.7,4248.7,1
90,90,2009,1.0,office,1418.0,5,12.0,20,1964,8.7,26893.5,26893.5,26893.5,2
91,91,2007,9.0,education,442.0,5,337.0,5,1922,19.8,2312.01,2312.01,2312.01,3
92,92,2014,12.0,office,1210.0,1,117.0,7,2004,4.7,11408.28,11408.28,11408.28,3
93,93,2007,4.0,commercial,813.0,3,12.0,4,1961,19.9,3786.86,3786.86,3786.86,3
94,94,2011,1.0,commercial,339.0,1,12.0,1,1926,9.6,638.67,638.67,638.67,3
95,95,2013,4.0,commercial,365.0,3,203.0,2,1963,18.4,54.18,54.18,54.18,2
96,96,2014,8.0,commercial,252.0,8,337.0,5,1976,25.4,2095.21,2095.21,2095.21,1
97,97,2008,3.0,commercial,831.0,8,172.0,2,1933,16.2,1142.55,1142.55,1142.55,2
98,98,2014,10.0,education,156.0,3,-7.0,3,1978,14.7,509.48,509.48,509.48,1
99,99,2013,8.0,office,1292.0,1,37.0,5,1992,24.2,5788.16,5788.16,5788.16,1
100,100,2012,2.0,factory,342.0,4,172.0,2,1984,12.3,608.5,608.5,608.5,3
101,101,2008,5.0,education,187.0,1,172.0,4,2002,18.2,665.12,665.12,665.12,3
102,102,2010,4.0,factory,268.0,8,37.0,2,1963,21.1,477.48,477.48,477.48,1
103,103,2013,6.0,commercial,1554.0,4,37.0,1,1995,25.8,2686.43,2686.43,2686.43,1
104,104,2012,7.0,commercial,1105.0,7,117.0,6,1966,26.5,9954.95,9954.95,9954.95,3
105,105,2011,8.0,factory,388.0,2,337.0,1,1941,23.1,340.59,340.59,340.59,1
106,106,2007,10.0,residential,679.0,2,37.0,4,1987,16.5,2000.5,2000.5,2000.5,2
107,107,2014,12.0,residential,486.0,2,-7.0,17,2006,10.8,5578.34,5578.34,5578.34,2
108,108,2010,4.0,residential,880.0,5,12.0,8,2000,22.4,6780.53,6780.53,6780.53,1
109,109,2006,3.0,residential,179.0,3,12.0,7,1978,19.5,1079.89,1079.89,1079.89,1
110,110,2008,4.0,factory,1515.0,3,117.0,6,1934,21.9,5503.77,5503.77,5503.77,3
111,111,2013,7.0,commercial,339.0,1,12.0,1,1926,24.0,611.28,611.28,611.28,1
112,112,2014,9.0,commercial,657.0,2,19.0,5,1972,18.8,6799.16,6799.16,6799.16,1
113,113,2010,2.0,office,1210.0,1,117.0,7,2004,12.4,5513.97,5513.97,5513.97,2
114,114,2006,12.0,office,279.0,6,12.0,18,1945,8.1,3892.05,3892.05,3892.05,2
115,115,2011,2.0,commercial,1003.0,4,-7.0,6,1994,11.2,10898.84,10898.84,10898.84,1
116,116,2013,2.0,commercial,215.0,4,37.0,6,1981,15.4,2017.66,2017.66,2017.66,1
117,117,2014,4.0,education,254.0,1,337.0,3,1963,20.8,744.09,744.09,744.09,2
118,118,2005,9.0,office,279.0,6,12.0,18,1945,19.4,5062.18,5062.18,5062.18,1
119,119,2010,3.0,commercial,1707.0,4,172.0,6,2006,19.2,13901.93,13901.93,13901.93,3
120,120,2007,2.0,factory,268.0,8,37.0,2,1963,15.9,477.48,477.48,477.48,1
121,121,2014,2.0,commercial,232.0,5,172.0,3,1976,12.8,815.13,815.13,815.13,3
122,122,2014,4.0,office,249.0,6,337.0,3,1940,21.6,582.66,582.66,582.66,3
123,123,2011,10.0,education,453.0,5,55.0,2,1937,14.7,896.51,896.51,896.51,2
124,124,2007,1.0,commercial,489.0,6,37.0,2,1934,8.8,1739.89,1739.89,1739.89,3
125,125,2008,5.0,commercial,429.0,8,51.0,1,1963,20.2,294.92,294.92,294.92,2
126,126,2008,5.0,office,1266.0,6,37.0,29,1952,20.6,37007.71,37007.71,37007.71,1
127,127,2010,4.0,residential,3228.0,3,-7.0,5,1944,17.1,851.08,851.08,851.08,2
128,128,2010,2.0,factory,379.0,2,117.0,1,1973,14.4,367.71,367.71,367.71,1
129,129,2005,9.0,residential,594.0,8,337.0,26,1994,20.6,11925.86,11925.86,11925.86,3
130,130,2012,10.0,office,601.0,1,19.0,15,1934,18.6,8077.44,8077.44,8077.44,1
131,131,2011,10.0,commercial,615.0,6,172.0,5,1998,15.2,6509.16,6509.16,6509.16,1
132,132,2008,5.0,commercial,5947.0,6,12.0,2,1996,21.6,10840.19,10840.19,10840.19,2
133,133,2011,5.0,residential,464.0,3,12.0,3,2001,22.7,66.41,66.41,66.41,2
134,134,2012,6.0,commercial,539.0,6,172.0,4,2009,25.5,2118.92,2118.92,2118.92,3
135,135,2014,6.0,residential,239.0,5,37.0,18,1998,25.9,4851.541864684603,4851.541864684603,4851.541864684603,3
136,136,2006,9.0,education,857.0,8,37.0,6,1966,20.5,4572.27,4572.27,4572.27,3
137,137,2013,11.0,factory,218.0,3,203.0,1,1971,14.7,158.62,158.62,158.62,3
138,138,2011,3.0,factory,452.0,5,-7.0,2,1939,19.3,498.72,498.72,498.72,3
139,139,2008,4.0,education,351.0,6,117.0,1,1979,20.4,274.2,274.2,274.2,2
140,140,2008,1.0,factory,2362.0,6,117.0,6,2007,9.1,6589.98,6589.98,6589.98,2
141,141,2013,3.0,office,225.0,6,19.0,23,1946,16.4,4417.95,4417.95,4417.95,3
142,142,2005,3.0,education,457.0,4,37.0,6,1961,17.2,2999.22,2999.22,2999.22,3
143,143,2011,9.0,commercial,2080.0,2,117.0,6,2006,17.7,23678.05,23678.05,23678.05,1
144,144,2009,5.0,residential,163.0,1,12.0,21,1989,23.6,2643.24,2643.24,2643.24,3
145,145,2013,10.0,education,388.0,4,172.0,2,1936,17.8,692.81,692.81,692.81,2
146,146,2005,6.0,office,529.0,2,117.0,26,1989,22.6,18639.42,18639.42,18639.42,1
147,147,2011,10.0,education,1107.0,4,203.0,4,1927,18.2,5085.12,5085.12,5085.12,3
148,148,2008,6.0,factory,833.0,2,117.0,4,1935,25.5,2130.4,2130.4,2130.4,2
149,149,2008,5.0,factory,306.0,6,337.0,5,1989,26.0,984.56,984.56,984.56,3
150,150,2006,10.0,commercial,435.0,6,203.0,6,1925,13.0,4287.01,4287.01,4287.01,3
151,151,2005,1.0,residential,1024.0,6,203.0,23,1967,8.2,27032.28,27032.28,27032.28,3
152,152,2007,6.0,commercial,599.0,8,337.0,1,1948,24.5,411.79,411.79,411.79,2
153,153,2005,10.0,residential,954.0,8,117.0,27,1943,17.1,8796.25,8796.25,8796.25,2
154,154,2008,3.0,commercial,157.0,6,12.0,3,1921,17.9,408.83,408.83,408.83,2
155,155,2009,2.0,commercial,489.0,6,37.0,2,1934,14.4,1380.15,1380.15,1380.15,1
156,156,2013,1.0,education,565.0,5,117.0,5,2006,9.5,3634.01,3634.01,3634.01,2
157,157,2011,10.0,commercial,547.0,7,203.0,1,1979,16.1,1027.43,1027.43,1027.43,3
158,158,2012,1.0,commercial,656.6619098651926,4,172.0,3,1959,7.1,853.07,853.07,853.07,2
159,159,2012,12.0,education,320.0,2,203.0,5,1944,9.4,2370.22,2370.22,2370.22,3
160,160,2010,5.0,education,243.0,8,19.0,6,1991,23.0,781.02,781.02,781.02,2
161,161,2013,9.0,commercial,912.0,6,172.0,6,1951,20.1,5937.12,5937.12,5937.12,2
162,162,2014,8.0,education,173.0,6,51.0,6,1999,22.9,1395.07,1395.07,1395.07,1
163,163,2006,12.0,education,837.0,5,203.0,3,1934,7.1,3105.86,3105.86,3105.86,2
164,164,2010,2.0,commercial,260.0,7,337.0,6,1929,14.5,3234.94,3234.94,3234.94,1
165,165,2007,12.0,residential,924.0,7,203.0,25,1931,4.4,37146.25,37146.25,37146.25,3
166,166,2011,2.0,education,442.0,5,337.0,5,1922,15.0,2186.84,2186.84,2186.84,2
167,167,2010,5.0,residential,800.0,7,203.0,2,1978,24.9,1026.72,1026.72,1026.72,2
168,168,2007,10.0,commercial,360.0,3,12.0,3,1948,18.4,1752.71,1752.71,1752.71,1
169,169,2007,8.0,education,471.0,8,117.0,3,2001,23.9,2397.58,2397.58,2397.58,1
170,170,2013,12.0,residential,1068.0,1,12.0,11,1946,8.7,11249.88,11249.88,11249.88,1
171,171,2011,2.0,office,1084.0,8,19.0,24,1924,12.8,24738.56,24738.56,24738.56,3
172,172,2010,3.0,residential,591.0,5,-7.0,20,1964,14.5,9649.3,9649.3,9649.3,2
173,173,2007,4.0,education,420.0,1,12.0,6,1925,20.7,1870.19,1870.19,1870.19,2
174,174,2009,10.0,factory,218.0,3,203.0,1,1971,17.8,10.04,10.04,10.04,2
175,175,2008,6.0,factory,2362.0,6,117.0,6,2007,25.1,12499.7,12499.7,12499.7,1
176,176,2008,5.0,education,480.0,4,51.0,2,1951,20.8,1219.28,1219.28,1219.28,1
177,177,2005,9.0,residential,233.0,7,51.0,12,1949,22.4,4051.4,4051.4,4051.4,1
178,178,2005,10.0,office,1342.0,6,19.0,5,1944,16.8,7890.96,7890.96,7890.96,1
179,179,2007,4.0,office,1342.0,6,19.0,5,1944,22.2,8642.48,8642.48,8642.48,1
180,180,2007,9.0,office,474.0,2,51.0,26,1992,19.8,8825.22,8825.22,8825.22,2
181,181,2013,8.0,education,2447.0,8,19.0,6,1943,21.1,12368.12,12368.12,12368.12,3
182,182,2010,10.0,office,1292.0,1,37.0,5,1992,18.4,4836.28,4836.28,4836.28,2
183,183,2009,4.0,office,285.0,7,55.0,8,1932,21.6,2936.64,2936.64,2936.64,1
184,184,2010,7.0,education,812.0,7,337.0,3,2008,22.8,3277.64,3277.64,3277.64,3
185,185,2007,1.0,education,585.0,8,12.0,3,1924,2.1,799.1,799.1,799.1,2
186,186,2012,11.0,commercial,553.0,4,12.0,2,2001,15.1,2239.72,2239.72,2239.72,3
187,187,2012,6.0,factory,595.0,7,37.0,1,1999,25.6,369.83,369.83,369.83,3
188,188,2014,11.0,commercial,488.0,2,55.0,5,1995,11.8,3787.66,3787.66,3787.66,1
189,189,2014,11.0,factory,788.0,4,117.0,6,1998,14.9,2198.52,2198.52,2198.52,2
190,190,2010,10.0,commercial,425.0,8,117.0,3,1956,17.7,1691.3,1691.3,1691.3,3
191,191,2006,10.0,education,488.0,6,172.0,4,2006,16.5,2361.14,2361.14,2361.14,1
192,192,2011,3.0,office,225.0,6,19.0,23,1946,17.7,4300.29,4300.29,4300.29,3
193,193,2010,3.0,commercial,1128.0,6,172.0,1,2008,19.6,1768.7,1768.7,1768.7,1
194,194,2010,3.0,office,286.0,3,55.0,15,1937,19.0,263.32,263.32,263.32,2
195,195,2005,3.0,commercial,176.0,6,55.0,24,1972,16.3,3011.71,3011.71,3011.71,2
196,196,2010,8.0,education,411.0,4,172.0,2,1949,24.0,807.86,807.86,807.86,3
197,197,2011,1.0,office,921.0,6,51.0,27,1979,9.3,25956.08,25956.08,25956.08,3
198,198,2005,1.0,office,956.0,2,51.0,13,2002,5.2,6780.72,6780.72,6780.72,2
199,199,2011,10.0,education,599.0,1,337.0,2,1946,17.3,1179.3,1179.3,1179.3,3
200,200,2009,10.0,residential,239.0,5,37.0,18,1998,17.0,4189.92,4189.92,4189.92,3
201,201,2006,2.0,education,457.0,4,37.0,6,1961,15.2,2244.05,2244.05,2244.05,2
202,202,2007,3.0,residential,239.0,5,37.0,18,1998,17.6,3671.59,3671.59,3671.59,2
203,203,2013,9.0,commercial,657.0,5,337.0,1,1964,22.3,758.47,758.47,758.47,2
204,204,2012,10.0,education,388.0,4,172.0,2,1936,16.4,985.58,985.58,985.58,1
205,205,2010,9.0,commercial,372.0,6,55.0,3,1997,21.8,968.69,968.69,968.69,2
206,206,2006,9.0,education,1013.0,4,117.0,6,1977,20.6,6570.8,6570.8,6570.8,3
207,207,2011,3.0,commercial,553.0,4,12.0,2,2001,16.6,1773.94,1773.94,1773.94,3
208,208,2005,9.0,residential,863.0,5,19.0,4,1940,20.1,2108.27,2108.27,2108.27,3
209,209,2014,2.0,office,623.0,2,172.0,8,1974,13.7,7982.37,7982.37,7982.37,1
210,210,2005,3.0,office,549.0,8,19.0,3,1972,17.6,1490.47,1490.47,1490.47,1
211,211,2007,8.0,education,525.0,8,117.0,1,1993,24.5,855.19,855.19,855.19,1
212,212,2008,5.0,factory,625.0,2,51.0,1,1975,19.5,476.29,476.29,476.29,3
213,213,2006,6.0,education,243.0,8,19.0,6,1991,22.9,1880.19,1880.19,1880.19,1
214,214,2005,8.0,office,464.0,5,55.0,18,1947,22.7,7575.77,7575.77,7575.77,2
215,215,2011,11.0,commercial,589.0,2,12.0,2,1956,14.9,2098.25,2098.25,2098.25,3
216,216,2013,3.0,factory,240.0,3,37.0,5,1957,16.3,55.24,55.24,55.24,2
217,217,2007,3.0,education,529.0,1,55.0,4,1974,16.5,1818.32,1818.32,1818.32,2
218,218,2012,9.0,commercial,589.0,2,12.0,2,1956,22.3,1485.76,1485.76,1485.76,3
219,219,2010,8.0,office,1292.0,1,37.0,5,1992,24.3,6873.44,6873.44,6873.44,1
220,220,2011,9.0,commercial,367.0,2,-7.0,6,1974,17.4,2512.79,2512.79,2512.79,3
221,221,2008,7.0,education,1527.0,5,117.0,3,1983,23.9,4103.44,4103.44,4103.44,3
222,222,2012,12.0,office,493.0,1,51.0,28,1995,7.8,10334.36,10334.36,10334.36,2
223,223,2013,10.0,commercial,1178.0,4,117.0,3,1930,16.6,4037.7,4037.7,4037.7,3
224,224,2006,8.0,factory,342.0,4,172.0,2,1984,22.2,754.11,754.11,754.11,1
225,225,2008,2.0,residential,244.0,6,117.0,23,1994,9.9,3444.65,3444.65,3444.65,2
226,226,2006,6.0,commercial,334.0,8,37.0,4,2001,22.4,2433.17,2433.17,2433.17,1
227,227,2009,10.0,office,464.0,5,55.0,18,1947,15.8,7231.41,7231.41,7231.41,2
228,228,2010,9.0,office,460.0,3,12.0,16,1981,18.1,8902.66,8902.66,8902.66,1
229,229,2011,8.0,factory,923.0,8,12.0,3,1975,23.5,973.41,973.41,973.41,2
230,230,2007,4.0,education,508.0,2,19.0,3,2006,23.1,1412.2,1412.2,1412.2,3
231,231,2006,7.0,commercial,831.0,8,172.0,2,1933,25.3,2087.14,2087.14,2087.14,3
232,232,2006,9.0,commercial,1554.0,4,37.0,1,1995,17.2,1348.87,1348.87,1348.87,2
233,233,2010,10.0,education,337.0,8,203.0,1,1940,16.3,378.16,378.16,378.16,3
234,234,2006,2.0,commercial,776.0,7,117.0,3,2002,12.6,2556.19,2556.19,2556.19,2
235,235,2008,10.0,office,529.0,2,117.0,26,1989,12.8,13566.35,13566.35,13566.35,3
236,236,2007,12.0,commercial,553.0,4,12.0,2,2001,7.3,2003.01,2003.01,2003.01,1
237,237,2005,4.0,office,943.0,8,37.0,7,1925,18.7,6863.58,6863.58,6863.58,3
238,238,2007,4.0,commercial,599.0,8,337.0,1,1948,17.7,1043.49,1043.49,1043.49,1
239,239,2005,5.0,residential,293.0,8,172.0,28,1972,24.6,9605.18,9605.18,9605.18,1
240,240,2012,3.0,residential,1024.0,6,203.0,23,1967,16.3,14456.22,14456.22,14456.22,2
241,241,2006,12.0,residential,163.0,1,12.0,21,1989,6.5,2950.1,2950.1,2950.1,3
242,242,2012,7.0,residential,679.0,2,37.0,4,1987,26.8,1833.79,1833.79,1833.79,2
243,243,2006,2.0,residential,258.0,3,51.0,9,1962,13.2,2001.19,2001.19,2001.19,1
244,244,2014,1.0,commercial,588.0,2,12.0,4,1963,10.2,5182.31,5182.31,5182.31,3
245,245,2013,9.0,residential,1068.0,1,12.0,11,1946,21.0,13618.28,13618.28,13618.28,1
246,246,2010,12.0,factory,953.0,2,-7.0,1,1982,9.6,463.09,463.09,463.09,2
247,247,2007,9.0,office,464.0,5,55.0,18,1947,20.5,6234.43,6234.43,6234.43,3
248,248,2005,10.0,factory,371.0,5,-7.0,6,1953,17.8,1445.5,1445.5,1445.5,2
249,249,2014,5.0,education,299.0,6,37.0,5,1936,22.8,2310.67,2310.67,2310.67,1
250,250,2006,2.0,commercial,1554.0,4,37.0,1,1995,10.9,2686.43,2686.43,2686.43,1
251,251,2007,9.0,office,843.0,4,203.0,4,1941,20.3,2761.67,2761.67,2761.67,3
252,252,2006,4.0,factory,833.0,2,117.0,4,1935,20.5,2130.4,2130.4,2130.4,2
253,253,2013,5.0,office,225.0,6,19.0,23,1946,22.5,5506.2,5506.2,5506.2,1
254,254,2007,11.0,residential,449.0,1,337.0,29,1926,12.9,13964.77,13964.77,13964.77,3
255,255,2005,8.0,office,172.0,1,19.0,23,1947,22.5,4873.79,4873.79,4873.79,1
256,256,2008,7.0,residential,656.6619098651926,1,12.0,11,1946,25.0,9484.16,9484.16,9484.16,3
257,257,2012,7.0,commercial,442.0,1,172.0,5,1953,24.2,2014.19,2014.19,2014.19,2
258,258,2009,8.0,commercial,232.0,5,172.0,3,1976,22.7,964.19,964.19,964.19,2
259,259,2007,9.0,education,581.0,7,337.0,5,1984,21.6,4714.47,4714.47,4714.47,1
260,260,2009,10.0,commercial,388.0,4,37.0,3,1970,14.7,1628.95,1628.95,1628.95,1
261,261,2013,11.0,education,1862.0,8,19.0,6,1945,12.7,5984.62,5984.62,5984.62,2
262,262,2009,8.0,residential,591.0,5,-7.0,20,1964,22.0,9758.02,9758.02,9758.02,1
263,263,2013,4.0,commercial,448.0,1,-7.0,6,1987,22.5,3522.36,3522.36,3522.36,3
264,264,2006,10.0,office,968.0,3,-7.0,3,1965,17.4,4851.541864684603,4851.541864684603,4851.541864684603,2
265,265,2005,1.0,factory,452.0,5,-7.0,2,1939,7.0,735.18,735.18,735.18,3
266,266,2013,1.0,education,429.0,5,37.0,5,1994,4.8,2826.8,2826.8,2826.8,3
267,267,2010,10.0,education,471.0,8,117.0,3,2001,18.4,1607.78,1607.78,1607.78,3
268,268,2011,9.0,education,837.0,5,203.0,3,1934,23.2,2249.23,2249.23,2249.23,3
269,269,2012,8.0,office,657.0,5,203.0,24,1999,23.8,12305.19,12305.19,12305.19,3
270,270,2006,1.0,education,451.0,5,203.0,4,1978,6.2,2316.68,2316.68,2316.68,1
271,271,2013,8.0,office,172.0,1,19.0,23,1947,23.9,5316.86,5316.86,5316.86,1
272,272,2006,1.0,office,279.0,6,12.0,18,1945,11.5,5825.6,5825.6,5825.6,3
273,273,2010,11.0,commercial,301.0,7,12.0,2,1920,11.2,1158.97,1158.97,1158.97,3
274,274,2012,4.0,office,172.0,1,19.0,23,1947,18.0,3090.43,3090.43,3090.43,2
275,275,2012,4.0,commercial,451.0,2,12.0,2,1981,19.5,1789.14,1789.14,1789.14,1
276,276,2009,5.0,education,1114.0,4,51.0,4,1924,20.0,3812.55,3812.55,3812.55,2
277,277,2008,5.0,factory,520.0,7,117.0,2,1964,22.7,954.41,954.41,954.41,1
278,278,2012,5.0,office,1266.0,6,37.0,29,1952,22.6,26177.08,26177.08,26177.08,2
279,279,2005,2.0,education,656.6619098651926,5,55.0,2,1937,12.0,1163.48,1163.48,1163.48,1
