,year,month,sector,floor_size,district,elevation,floors,built,tmp_min,tmp_mean,cost,source,total_size,cost_per_meter
57,2009,9.0,3,1085.0,5,37.0,7,1928,22.0,5918.38,5918.38,2,7595.0,0.7792468729427255
58,2011,7.0,2,1114.0,4,51.0,4,1924,25.1,4851.541864684603,4851.541864684603,2,4456.0,1.0887661276222178
59,2013,7.0,3,350.0,3,19.0,22,1963,22.9,464.03,464.03,2,7700.0,0.06026363636363636
60,2011,4.0,2,187.0,1,172.0,4,2002,22.1,955.05,955.05,1,748.0,1.2768048128342246
61,2014,7.0,1,290.0,2,51.0,4,2003,24.6,1323.72,1323.72,3,1160.0,1.1411379310344827
62,2007,6.0,3,449.0,1,337.0,29,1926,25.1,10968.89,10968.89,3,13021.0,0.8423999692803932
63,2008,8.0,4,218.0,4,37.0,6,1990,23.0,638.63,638.63,2,1308.0,0.4882492354740061
64,2009,1.0,1,844.0,3,-7.0,2,1996,10.0,145.05,145.05,2,1688.0,0.08593009478672986
65,2010,6.0,4,819.0,3,37.0,6,2006,24.5,4829.48,4829.48,1,4914.0,0.9828001628001627
66,2007,6.0,5,1342.0,6,19.0,5,1944,25.2,5495.49,5495.49,3,6710.0,0.819
67,2005,6.0,2,861.0,7,19.0,5,2003,22.1,4051.69,4051.69,2,4305.0,0.9411591173054588
68,2011,4.0,5,956.0,2,51.0,13,2002,17.5,11196.39,11196.39,3,12428.0,0.900900386224654
69,2010,5.0,1,657.0,5,337.0,1,1964,24.5,890.59,890.59,1,657.0,1.3555403348554034
70,2011,11.0,4,368.0,7,-7.0,1,1932,13.3,226.31,226.31,2,368.0,0.6149728260869566
71,2010,3.0,3,954.0,8,117.0,27,1943,16.4,30157.26,30157.26,1,25758.0,1.170791986955509
72,2014,5.0,1,941.0,3,117.0,4,1954,22.5,4514.99,4514.99,1,3764.0,1.19951912858661
73,2013,3.0,2,837.0,5,203.0,3,1934,16.3,2608.92,2608.92,2,2511.0,1.0389964157706093
74,2005,11.0,1,339.0,1,12.0,1,1926,13.0,503.94,503.94,3,339.0,1.4865486725663717
75,2013,11.0,1,854.0,4,337.0,1,1936,12.8,1824.14,1824.14,3,854.0,2.1359953161592506
76,2006,1.0,1,1265.0,7,117.0,3,1971,9.3,6843.14,6843.14,1,3795.0,1.8031989459815547
77,2005,11.0,1,317.0,8,51.0,2,1976,13.7,396.22,396.22,2,634.0,0.6249526813880126
78,2007,8.0,2,1919.0,3,37.0,6,1962,23.0,4851.541864684603,4851.541864684603,2,11514.0,0.42136024532609023
79,2013,2.0,4,268.0,8,37.0,2,1963,11.8,477.48,477.48,1,536.0,0.8908208955223881
80,2010,6.0,1,372.0,6,55.0,3,1997,23.6,1017.12,1017.12,2,1116.0,0.9113978494623656
81,2009,5.0,3,379.0,8,19.0,27,1941,23.3,7901.92,7901.92,3,10233.0,0.7721997459200626
82,2013,5.0,1,524.0,6,117.0,3,1929,23.0,1544.96,1544.96,3,1572.0,0.9827989821882952
83,2008,12.0,3,464.0,3,12.0,3,2001,6.7,76.9,76.9,2,1392.0,0.05524425287356322
84,2014,6.0,3,293.0,8,172.0,28,1972,25.8,10022.79,10022.79,1,8204.0,1.2216955143832278
85,2013,6.0,2,243.0,8,19.0,6,1991,24.2,2374.98,2374.98,1,1458.0,1.6289300411522634
86,2006,8.0,2,585.0,8,12.0,3,1924,20.5,705.09,705.09,2,1755.0,0.4017606837606838
87,2009,9.0,2,420.0,1,12.0,6,1925,22.0,3725.57,3725.57,1,2520.0,1.4784007936507937
88,2011,9.0,1,372.0,6,55.0,3,1997,20.2,1218.67,1218.67,3,1116.0,1.0919982078853048
89,2006,8.0,1,357.0,7,337.0,6,1921,22.5,4248.7,4248.7,1,2142.0,1.9835200746965451
90,2009,1.0,5,1418.0,5,12.0,20,1964,8.7,26893.5,26893.5,2,28360.0,0.948289844851904
91,2007,9.0,2,442.0,5,337.0,5,1922,19.8,2312.01,2312.01,3,2210.0,1.046158371040724
92,2014,12.0,5,1210.0,1,117.0,7,2004,4.7,11408.28,11408.28,3,8470.0,1.346904368358914
93,2007,4.0,1,813.0,3,12.0,4,1961,19.9,3786.86,3786.86,3,3252.0,1.1644710947109471
94,2011,1.0,1,339.0,1,12.0,1,1926,9.6,638.67,638.67,3,339.0,1.8839823008849557
95,2013,4.0,1,365.0,3,203.0,2,1963,18.4,54.18,54.18,2,730.0,0.07421917808219178
96,2014,8.0,1,252.0,8,337.0,5,1976,25.4,2095.21,2095.21,1,1260.0,1.6628650793650794
97,2008,3.0,1,831.0,8,172.0,2,1933,16.2,1142.55,1142.55,2,1662.0,0.6874548736462094
98,2014,10.0,2,156.0,3,-7.0,3,1978,14.7,509.48,509.48,1,468.0,1.0886324786324786
99,2013,8.0,5,1292.0,1,37.0,5,1992,24.2,5788.16,5788.16,1,6460.0,0.896
100,2012,2.0,4,342.0,4,172.0,2,1984,12.3,608.5,608.5,3,684.0,0.8896198830409356
101,2008,5.0,2,187.0,1,172.0,4,2002,18.2,665.12,665.12,3,748.0,0.8891978609625668
102,2010,4.0,4,268.0,8,37.0,2,1963,21.1,477.48,477.48,1,536.0,0.8908208955223881
103,2013,6.0,1,1554.0,4,37.0,1,1995,25.8,2686.43,2686.43,1,1554.0,1.7287194337194336
104,2012,7.0,1,1105.0,7,117.0,6,1966,26.5,9954.95,9954.95,3,6630.0,1.5015007541478131
105,2011,8.0,4,388.0,2,337.0,1,1941,23.1,340.59,340.59,1,388.0,0.8778092783505154
106,2007,10.0,3,679.0,2,37.0,4,1987,16.5,2000.5,2000.5,2,2716.0,0.7365611192930781
107,2014,12.0,3,486.0,2,-7.0,17,2006,10.8,5578.34,5578.34,2,8262.0,0.6751803437424353
108,2010,4.0,3,880.0,5,12.0,8,2000,22.4,6780.53,6780.53,1,7040.0,0.9631434659090908
109,2006,3.0,3,179.0,3,12.0,7,1978,19.5,1079.89,1079.89,1,1253.0,0.8618435754189945
110,2008,4.0,4,1515.0,3,117.0,6,1934,21.9,5503.77,5503.77,3,9090.0,0.6054752475247526
111,2013,7.0,1,339.0,1,12.0,1,1926,24.0,611.28,611.28,1,339.0,1.8031858407079646
112,2014,9.0,1,657.0,2,19.0,5,1972,18.8,6799.16,6799.16,1,3285.0,2.069759512937595
113,2010,2.0,5,1210.0,1,117.0,7,2004,12.4,5513.97,5513.97,2,8470.0,0.651
114,2006,12.0,5,279.0,6,12.0,18,1945,8.1,3892.05,3892.05,2,5022.0,0.775
115,2011,2.0,1,1003.0,4,-7.0,6,1994,11.2,10898.84,10898.84,1,6018.0,1.8110402126952476
116,2013,2.0,1,215.0,4,37.0,6,1981,15.4,2017.66,2017.66,1,1290.0,1.564077519379845
117,2014,4.0,2,254.0,1,337.0,3,1963,20.8,744.09,744.09,2,762.0,0.976496062992126
118,2005,9.0,5,279.0,6,12.0,18,1945,19.4,5062.18,5062.18,1,5022.0,1.0080007964954203
119,2010,3.0,1,1707.0,4,172.0,6,2006,19.2,13901.93,13901.93,3,10242.0,1.3573452450693224
120,2007,2.0,4,268.0,8,37.0,2,1963,15.9,477.48,477.48,1,536.0,0.8908208955223881
121,2014,2.0,1,232.0,5,172.0,3,1976,12.8,815.13,815.13,3,696.0,1.1711637931034482
122,2014,4.0,5,249.0,6,337.0,3,1940,21.6,582.66,582.66,3,747.0,0.7799999999999999
123,2011,10.0,2,453.0,5,55.0,2,1937,14.7,896.51,896.51,2,906.0,0.9895253863134658
124,2007,1.0,1,489.0,6,37.0,2,1934,8.8,1739.89,1739.89,3,978.0,1.7790286298568507
125,2008,5.0,1,429.0,8,51.0,1,1963,20.2,294.92,294.92,2,429.0,0.6874592074592075
126,2008,5.0,5,1266.0,6,37.0,29,1952,20.6,37007.71,37007.71,1,36714.0,1.0079999455248678
127,2010,4.0,3,3228.0,3,-7.0,5,1944,17.1,851.08,851.08,2,16140.0,0.05273110285006196
128,2010,2.0,4,379.0,2,117.0,1,1973,14.4,367.71,367.71,1,379.0,0.9702110817941952
129,2005,9.0,3,594.0,8,337.0,26,1994,20.6,11925.86,11925.86,3,15444.0,0.7722002072002072
130,2012,10.0,5,601.0,1,19.0,15,1934,18.6,8077.44,8077.44,1,9015.0,0.8959999999999999
131,2011,10.0,1,615.0,6,172.0,5,1998,15.2,6509.16,6509.16,1,3075.0,2.1168
132,2008,5.0,1,5947.0,6,12.0,2,1996,21.6,10840.19,10840.19,2,11894.0,0.9113998654783925
133,2011,5.0,3,464.0,3,12.0,3,2001,22.7,66.41,66.41,2,1392.0,0.04770833333333333
134,2012,6.0,1,539.0,6,172.0,4,2009,25.5,2118.92,2118.92,3,2156.0,0.9828014842300556
135,2014,6.0,3,239.0,5,37.0,18,1998,25.9,4851.541864684603,4851.541864684603,3,4302.0,1.1277410192200379
136,2006,9.0,2,857.0,8,37.0,6,1966,20.5,4572.27,4572.27,3,5142.0,0.8892007001166862
137,2013,11.0,4,218.0,3,203.0,1,1971,14.7,158.62,158.62,3,218.0,0.7276146788990826
138,2011,3.0,4,452.0,5,-7.0,2,1939,19.3,498.72,498.72,3,904.0,0.5516814159292036
139,2008,4.0,2,351.0,6,117.0,1,1979,20.4,274.2,274.2,2,351.0,0.7811965811965812
140,2008,1.0,4,2362.0,6,117.0,6,2007,9.1,6589.98,6589.98,2,14172.0,0.46499999999999997
141,2013,3.0,5,225.0,6,19.0,23,1946,16.4,4417.95,4417.95,3,5175.0,0.8537101449275362
142,2005,3.0,2,457.0,4,37.0,6,1961,17.2,2999.22,2999.22,3,2742.0,1.0938074398249453
143,2011,9.0,1,2080.0,2,117.0,6,2006,17.7,23678.05,23678.05,1,12480.0,1.8972796474358973
144,2009,5.0,3,163.0,1,12.0,21,1989,23.6,2643.24,2643.24,3,3423.0,0.772199824715162
145,2013,10.0,2,388.0,4,172.0,2,1936,17.8,692.81,692.81,2,776.0,0.8927963917525773
146,2005,6.0,5,529.0,2,117.0,26,1989,22.6,18639.42,18639.42,1,13754.0,1.3551999418351024
147,2011,10.0,2,1107.0,4,203.0,4,1927,18.2,5085.12,5085.12,3,4428.0,1.14840108401084
148,2008,6.0,4,833.0,2,117.0,4,1935,25.5,2130.4,2130.4,2,3332.0,0.6393757503001201
149,2008,5.0,4,306.0,6,337.0,5,1989,26.0,984.56,984.56,3,1530.0,0.6435032679738562
150,2006,10.0,1,435.0,6,203.0,6,1925,13.0,4287.01,4287.01,3,2610.0,1.6425325670498085
151,2005,1.0,3,1024.0,6,203.0,23,1967,8.2,27032.28,27032.28,3,23552.0,1.1477700407608695
152,2007,6.0,1,599.0,8,337.0,1,1948,24.5,411.79,411.79,2,599.0,0.6874624373956595
153,2005,10.0,3,954.0,8,117.0,27,1943,17.1,8796.25,8796.25,2,25758.0,0.3414958459507726
154,2008,3.0,1,157.0,6,12.0,3,1921,17.9,408.83,408.83,2,471.0,0.868004246284501
155,2009,2.0,1,489.0,6,37.0,2,1934,14.4,1380.15,1380.15,1,978.0,1.411196319018405
156,2013,1.0,2,565.0,5,117.0,5,2006,9.5,3634.01,3634.01,2,2825.0,1.286375221238938
157,2011,10.0,1,547.0,7,203.0,1,1979,16.1,1027.43,1027.43,3,547.0,1.8782998171846437
158,2012,1.0,1,656.6619098651926,4,172.0,3,1959,7.1,853.07,853.07,2,1969.9857295955776,0.4330335936875688
159,2012,12.0,2,320.0,2,203.0,5,1944,9.4,2370.22,2370.22,3,1600.0,1.4813874999999999
160,2010,5.0,2,243.0,8,19.0,6,1991,23.0,781.02,781.02,2,1458.0,0.535679012345679
161,2013,9.0,1,912.0,6,172.0,6,1951,20.1,5937.12,5937.12,2,5472.0,1.085
162,2014,8.0,2,173.0,6,51.0,6,1999,22.9,1395.07,1395.07,1,1038.0,1.3439980732177264
163,2006,12.0,2,837.0,5,203.0,3,1934,7.1,3105.86,3105.86,2,2511.0,1.2369016328156113
164,2010,2.0,1,260.0,7,337.0,6,1929,14.5,3234.94,3234.94,1,1560.0,2.0736794871794872
165,2007,12.0,3,924.0,7,203.0,25,1931,4.4,37146.25,37146.25,3,23100.0,1.6080627705627706
166,2011,2.0,2,442.0,5,337.0,5,1922,15.0,2186.84,2186.84,2,2210.0,0.9895203619909503
167,2010,5.0,3,800.0,7,203.0,2,1978,24.9,1026.72,1026.72,2,1600.0,0.6417
168,2007,10.0,1,360.0,3,12.0,3,1948,18.4,1752.71,1752.71,1,1080.0,1.6228796296296297
169,2007,8.0,2,471.0,8,117.0,3,2001,23.9,2397.58,2397.58,1,1413.0,1.6968011323425336
170,2013,12.0,3,1068.0,1,12.0,11,1946,8.7,11249.88,11249.88,1,11748.0,0.9575995914198161
171,2011,2.0,5,1084.0,8,19.0,24,1924,12.8,24738.56,24738.56,3,26016.0,0.9508979089790899
172,2010,3.0,3,591.0,5,-7.0,20,1964,14.5,9649.3,9649.3,2,11820.0,0.8163536379018612
173,2007,4.0,2,420.0,1,12.0,6,1925,20.7,1870.19,1870.19,2,2520.0,0.7421388888888889
174,2009,10.0,4,218.0,3,203.0,1,1971,17.8,10.04,10.04,2,218.0,0.046055045871559626
175,2008,6.0,4,2362.0,6,117.0,6,2007,25.1,12499.7,12499.7,1,14172.0,0.8819997177533164
176,2008,5.0,2,480.0,4,51.0,2,1951,20.8,1219.28,1219.28,1,960.0,1.2700833333333332
177,2005,9.0,3,233.0,7,51.0,12,1949,22.4,4051.4,4051.4,1,2796.0,1.4489985693848355
178,2005,10.0,5,1342.0,6,19.0,5,1944,16.8,7890.96,7890.96,1,6710.0,1.176
179,2007,4.0,5,1342.0,6,19.0,5,1944,22.2,8642.48,8642.48,1,6710.0,1.288
180,2007,9.0,5,474.0,2,51.0,26,1992,19.8,8825.22,8825.22,2,12324.0,0.7161002921129503
181,2013,8.0,2,2447.0,8,19.0,6,1943,21.1,12368.12,12368.12,3,14682.0,0.8424002179539573
182,2010,10.0,5,1292.0,1,37.0,5,1992,18.4,4836.28,4836.28,2,6460.0,0.7486501547987616
183,2009,4.0,5,285.0,7,55.0,8,1932,21.6,2936.64,2936.64,1,2280.0,1.288
184,2010,7.0,2,812.0,7,337.0,3,2008,22.8,3277.64,3277.64,3,2436.0,1.3455008210180623
185,2007,1.0,2,585.0,8,12.0,3,1924,2.1,799.1,799.1,2,1755.0,0.4553276353276353
186,2012,11.0,1,553.0,4,12.0,2,2001,15.1,2239.72,2239.72,3,1106.0,2.02506329113924
187,2012,6.0,4,595.0,7,37.0,1,1999,25.6,369.83,369.83,3,595.0,0.621563025210084
188,2014,11.0,1,488.0,2,55.0,5,1995,11.8,3787.66,3787.66,1,2440.0,1.5523196721311474
189,2014,11.0,4,788.0,4,117.0,6,1998,14.9,2198.52,2198.52,2,4728.0,0.46499999999999997
190,2010,10.0,1,425.0,8,117.0,3,1956,17.7,1691.3,1691.3,3,1275.0,1.3265098039215686
191,2006,10.0,2,488.0,6,172.0,4,2006,16.5,2361.14,2361.14,1,1952.0,1.2096004098360655
192,2011,3.0,5,225.0,6,19.0,23,1946,17.7,4300.29,4300.29,3,5175.0,0.8309739130434782
193,2010,3.0,1,1128.0,6,172.0,1,2008,19.6,1768.7,1768.7,1,1128.0,1.5679964539007092
194,2010,3.0,5,286.0,3,55.0,15,1937,19.0,263.32,263.32,2,4290.0,0.061379953379953375
195,2005,3.0,1,176.0,6,55.0,24,1972,16.3,3011.71,3011.71,2,4224.0,0.7129995265151515
196,2010,8.0,2,411.0,4,172.0,2,1949,24.0,807.86,807.86,3,822.0,0.9827980535279806
197,2011,1.0,5,921.0,6,51.0,27,1979,9.3,25956.08,25956.08,3,24867.0,1.043796195761451
198,2005,1.0,5,956.0,2,51.0,13,2002,5.2,6780.72,6780.72,2,12428.0,0.5456002574831027
199,2011,10.0,2,599.0,1,337.0,2,1946,17.3,1179.3,1179.3,3,1198.0,0.9843906510851419
200,2009,10.0,3,239.0,5,37.0,18,1998,17.0,4189.92,4189.92,3,4302.0,0.9739470013947001
201,2006,2.0,2,457.0,4,37.0,6,1961,15.2,2244.05,2244.05,2,2742.0,0.8183989788475566
202,2007,3.0,3,239.0,5,37.0,18,1998,17.6,3671.59,3671.59,2,4302.0,0.8534611808461181
203,2013,9.0,1,657.0,5,337.0,1,1964,22.3,758.47,758.47,2,657.0,1.1544444444444444
204,2012,10.0,2,388.0,4,172.0,2,1936,16.4,985.58,985.58,1,776.0,1.270077319587629
205,2010,9.0,1,372.0,6,55.0,3,1997,21.8,968.69,968.69,2,1116.0,0.8680017921146954
206,2006,9.0,2,1013.0,4,117.0,6,1977,20.6,6570.8,6570.8,3,6078.0,1.081079302402106
207,2011,3.0,1,553.0,4,12.0,2,2001,16.6,1773.94,1773.94,3,1106.0,1.6039240506329115
208,2005,9.0,3,863.0,5,19.0,4,1940,20.1,2108.27,2108.27,3,3452.0,0.6107387022016223
209,2014,2.0,5,623.0,2,172.0,8,1974,13.7,7982.37,7982.37,1,4984.0,1.60159911717496
210,2005,3.0,5,549.0,8,19.0,3,1972,17.6,1490.47,1490.47,1,1647.0,0.9049605343047966
211,2007,8.0,2,525.0,8,117.0,1,1993,24.5,855.19,855.19,1,525.0,1.6289333333333333
212,2008,5.0,4,625.0,2,51.0,1,1975,19.5,476.29,476.29,3,625.0,0.7620640000000001
213,2006,6.0,2,243.0,8,19.0,6,1991,22.9,1880.19,1880.19,1,1458.0,1.289567901234568
214,2005,8.0,5,464.0,5,55.0,18,1947,22.7,7575.77,7575.77,2,8352.0,0.9070605842911877
215,2011,11.0,1,589.0,2,12.0,2,1956,14.9,2098.25,2098.25,3,1178.0,1.7811969439728352
216,2013,3.0,4,240.0,3,37.0,5,1957,16.3,55.24,55.24,2,1200.0,0.046033333333333336
217,2007,3.0,2,529.0,1,55.0,4,1974,16.5,1818.32,1818.32,2,2116.0,0.8593194706994328
218,2012,9.0,1,589.0,2,12.0,2,1956,22.3,1485.76,1485.76,3,1178.0,1.2612563667232597
219,2010,8.0,5,1292.0,1,37.0,5,1992,24.3,6873.44,6873.44,1,6460.0,1.0639999999999998
220,2011,9.0,1,367.0,2,-7.0,6,1974,17.4,2512.79,2512.79,3,2202.0,1.14113987284287
221,2008,7.0,2,1527.0,5,117.0,3,1983,23.9,4103.44,4103.44,3,4581.0,0.8957520192097794
222,2012,12.0,5,493.0,1,51.0,28,1995,7.8,10334.36,10334.36,2,13804.0,0.7486496667632571
223,2013,10.0,1,1178.0,4,117.0,3,1930,16.6,4037.7,4037.7,3,3534.0,1.1425297113752122
224,2006,8.0,4,342.0,4,172.0,2,1984,22.2,754.11,754.11,1,684.0,1.1025
225,2008,2.0,3,244.0,6,117.0,23,1994,9.9,3444.65,3444.65,2,5612.0,0.6138007840342125
226,2006,6.0,1,334.0,8,37.0,4,2001,22.4,2433.17,2433.17,1,1336.0,1.8212350299401199
227,2009,10.0,5,464.0,5,55.0,18,1947,15.8,7231.41,7231.41,2,8352.0,0.8658297413793103
228,2010,9.0,5,460.0,3,12.0,16,1981,18.1,8902.66,8902.66,1,7360.0,1.2096005434782608
229,2011,8.0,4,923.0,8,12.0,3,1975,23.5,973.41,973.41,2,2769.0,0.3515384615384615
230,2007,4.0,2,508.0,2,19.0,3,2006,23.1,1412.2,1412.2,3,1524.0,0.9266404199475066
231,2006,7.0,1,831.0,8,172.0,2,1933,25.3,2087.14,2087.14,3,1662.0,1.2558002406738868
232,2006,9.0,1,1554.0,4,37.0,1,1995,17.2,1348.87,1348.87,2,1554.0,0.8679987129987129
233,2010,10.0,2,337.0,8,203.0,1,1940,16.3,378.16,378.16,3,337.0,1.1221364985163205
234,2006,2.0,1,776.0,7,117.0,3,2002,12.6,2556.19,2556.19,2,2328.0,1.098019759450172
235,2008,10.0,5,529.0,2,117.0,26,1989,12.8,13566.35,13566.35,3,13754.0,0.9863566962338229
236,2007,12.0,1,553.0,4,12.0,2,2001,7.3,2003.01,2003.01,1,1106.0,1.8110397830018083
237,2005,4.0,5,943.0,8,37.0,7,1925,18.7,6863.58,6863.58,3,6601.0,1.0397788213906984
238,2007,4.0,1,599.0,8,337.0,1,1948,17.7,1043.49,1043.49,1,599.0,1.7420534223706177
239,2005,5.0,3,293.0,8,172.0,28,1972,24.6,9605.18,9605.18,1,8204.0,1.1707922964407607
240,2012,3.0,3,1024.0,6,203.0,23,1967,16.3,14456.22,14456.22,2,23552.0,0.6138001019021739
241,2006,12.0,3,163.0,1,12.0,21,1989,6.5,2950.1,2950.1,3,3423.0,0.8618463336254747
242,2012,7.0,3,679.0,2,37.0,4,1987,26.8,1833.79,1833.79,2,2716.0,0.675180412371134
243,2006,2.0,3,258.0,3,51.0,9,1962,13.2,2001.19,2001.19,1,2322.0,0.861838931955211
244,2014,1.0,1,588.0,2,12.0,4,1963,10.2,5182.31,5182.31,3,2352.0,2.2033630952380956
245,2013,9.0,3,1068.0,1,12.0,11,1946,21.0,13618.28,13618.28,1,11748.0,1.1591998638066054
246,2010,12.0,4,953.0,2,-7.0,1,1982,9.6,463.09,463.09,2,953.0,0.48592864637985306
247,2007,9.0,5,464.0,5,55.0,18,1947,20.5,6234.43,6234.43,3,8352.0,0.7464595306513411
248,2005,10.0,4,371.0,5,-7.0,6,1953,17.8,1445.5,1445.5,2,2226.0,0.64937106918239
249,2014,5.0,2,299.0,6,37.0,5,1936,22.8,2310.67,2310.67,1,1495.0,1.5455986622073579
250,2006,2.0,1,1554.0,4,37.0,1,1995,10.9,2686.43,2686.43,1,1554.0,1.7287194337194336
